code,mape,mdape,acc,pre_pos,pre_neg,rec_pos,rec_neg,F1_pos,F1_neg
train,2.0589,49.2581,54.08,50.79,55.78,37.28,68.65,43.00,61.55
test,1.7902,39.3978,51.03,49.58,51.97,40.16,61.32,44.38,56.26
test,1.7902,39.3978,51.03,49.58,51.97,40.16,61.32,44.38,56.26
SZSE.300498,1.0125,1.3194,48.84,71.43,44.44,20.00,88.89,31.25,59.26
SZSE.300122,1.1512,1.8935,58.14,57.89,58.33,52.38,63.64,55.00,60.87
SZSE.300059,0.3237,0.1497,58.14,47.62,68.18,58.82,57.69,52.63,62.50
SZSE.002812,2.5239,10.1137,51.16,38.89,60.00,41.18,57.69,40.00,58.82
SZSE.002594,1.6474,4.0589,51.16,42.86,59.09,50.00,52.00,46.15,55.32
SZSE.002475,0.6655,0.6389,48.84,53.33,46.43,34.78,65.00,42.11,54.17
SZSE.002352,0.5728,0.5142,46.51,38.24,77.78,86.67,25.00,53.06,37.84
SZSE.002027,0.2494,0.0848,60.47,61.11,60.00,52.38,68.18,56.41,63.83
SZSE.000917,0.3596,0.1994,55.81,50.00,58.62,36.84,70.83,42.42,64.15
SZSE.000858,2.1075,7.1976,44.19,37.50,48.15,30.00,56.52,33.33,52.00
SZSE.000776,0.4246,0.2697,53.49,45.45,61.90,55.56,52.00,50.00,56.52
SZSE.000725,0.0433,0.0027,46.51,34.62,64.71,60.00,39.29,43.90,48.89
SZSE.000568,1.6654,3.7073,48.84,58.82,42.31,40.00,61.11,47.62,50.00
SZSE.000002,0.8043,0.8715,51.16,57.14,48.28,34.78,70.00,43.24,57.14
SZSE.000001,0.3763,0.2054,51.16,47.62,54.55,50.00,52.17,48.78,53.33
SSE.603288,2.7884,11.0916,53.49,66.67,50.00,26.09,85.00,37.50,62.96
SSE.601985,0.0457,0.0031,69.77,60.00,83.33,83.33,60.00,69.77,69.77
SSE.601939,0.1265,0.0283,46.51,47.62,45.45,45.45,47.62,46.51,46.51
SSE.601919,0.1555,0.0441,51.16,53.85,50.00,31.82,71.43,40.00,58.82
SSE.601888,2.0727,6.6927,48.84,60.00,42.86,36.00,66.67,45.00,52.17
SSE.601398,0.0632,0.0092,53.49,57.89,50.00,47.83,60.00,52.38,54.55
SSE.601318,1.7617,4.1116,39.53,30.43,50.00,41.18,38.46,35.00,43.48
SSE.601166,0.3272,0.1396,51.16,42.86,55.17,31.58,66.67,36.36,60.38
SSE.601088,0.5035,0.3453,46.51,50.00,44.83,30.43,65.00,37.84,53.06
SSE.600900,0.3676,0.2126,58.14,75.00,51.61,37.50,84.21,50.00,64.00
SSE.600887,0.5885,0.5406,58.14,62.50,55.56,45.45,71.43,52.63,62.50
SSE.600585,0.8986,1.0917,44.19,47.62,40.91,43.48,45.00,45.45,42.86
SSE.600519,31.1944,1295.8964,44.19,50.00,42.86,16.67,78.95,25.00,55.56
SSE.600436,3.0887,15.1255,53.49,57.14,52.78,19.05,86.36,28.57,65.52
SSE.600276,2.7658,10.5889,51.16,50.00,52.00,42.86,59.09,46.15,55.32
SSE.600048,0.2840,0.1173,53.49,42.11,62.50,47.06,57.69,44.44,60.00
SSE.600036,1.0131,1.4157,44.19,43.75,44.44,31.82,57.14,36.84,50.00
SSE.600031,0.2964,0.1278,46.51,50.00,45.71,17.39,80.00,25.81,58.18
SSE.600028,0.1401,0.0322,55.81,63.16,50.00,50.00,63.16,55.81,55.81
SSE.600000,0.2482,0.0817,41.86,38.46,43.33,22.73,61.90,28.57,50.98
train,2.0512,55.7891,52.89,49.87,54.50,36.96,67.02,42.46,60.11
test,2.9513,69.5535,47.51,59.26,44.94,19.05,83.46,28.83,58.42
test,2.9513,69.5535,47.51,59.26,44.94,19.05,83.46,28.83,58.42
SZSE.300498,3.0010,12.5559,46.51,66.67,43.24,16.00,88.89,25.81,58.18
SZSE.300122,3.2654,12.4246,48.84,71.43,44.44,20.00,88.89,31.25,59.26
SZSE.300059,1.8584,6.0817,41.86,45.45,40.62,20.83,68.42,28.57,50.98
SZSE.002812,3.7472,22.0336,46.51,46.67,46.43,31.82,61.90,37.84,53.06
SZSE.002594,2.1666,7.2397,55.81,77.78,50.00,29.17,89.47,42.42,64.15
SZSE.002475,1.8648,4.1219,39.53,0.00,39.53,0.00,100.00,0.00,56.67
SZSE.002352,1.6455,5.1182,48.84,71.43,44.44,20.00,88.89,31.25,59.26
SZSE.002027,0.4222,0.2786,46.51,50.00,45.71,17.39,80.00,25.81,58.18
SZSE.000917,0.9138,1.1752,39.53,41.67,38.71,20.83,63.16,27.78,48.00
SZSE.000858,8.4031,84.6953,37.21,0.00,37.21,0.00,100.00,0.00,54.24
SZSE.000776,1.0465,1.9032,46.51,57.14,41.38,32.00,66.67,41.03,51.06
SZSE.000725,0.3544,0.2480,51.16,64.29,44.83,36.00,72.22,46.15,55.32
SZSE.000568,5.0689,34.1188,37.21,66.67,35.00,7.14,93.33,12.90,50.91
SZSE.000002,1.3170,2.6735,55.81,66.67,54.05,19.05,90.91,29.63,67.80
SZSE.000001,0.6171,0.5674,53.49,85.71,47.22,24.00,94.44,37.50,62.96
SSE.603288,3.3633,18.7850,44.19,57.14,41.67,16.00,83.33,25.00,55.56
SSE.601985,0.2356,0.0800,48.84,50.00,48.65,13.64,85.71,21.43,62.07
SSE.601939,0.1871,0.0530,62.79,60.00,63.64,33.33,84.00,42.86,72.41
SSE.601919,0.2977,0.1402,53.49,83.33,48.65,20.83,94.74,33.33,64.29
SSE.601888,3.6950,18.5374,32.56,45.45,28.12,17.86,60.00,25.64,38.30
SSE.601398,0.1229,0.0225,48.84,42.11,54.17,42.11,54.17,42.11,54.17
SSE.601318,3.7986,17.5111,32.56,100.00,29.27,6.45,100.00,12.12,45.28
SSE.601166,0.7524,0.9119,48.84,62.50,45.71,20.83,84.21,31.25,59.26
SSE.601088,0.4971,0.3497,55.81,69.23,50.00,37.50,78.95,48.65,61.22
SSE.600900,0.2948,0.1311,60.47,50.00,63.64,29.41,80.77,37.04,71.19
SSE.600887,1.0994,1.6969,46.51,75.00,43.59,12.00,94.44,20.69,59.65
SSE.600585,1.9500,5.7983,44.19,60.00,42.11,12.00,88.89,20.00,57.14
SSE.600519,37.9528,2101.7820,48.84,100.00,46.34,8.33,100.00,15.38,63.33
SSE.600436,6.1435,49.1560,46.51,66.67,45.00,8.33,94.74,14.81,61.02
SSE.600276,3.8034,19.7070,44.19,75.00,37.14,21.43,86.67,33.33,52.00
SSE.600048,0.5345,0.3967,58.14,60.00,57.58,30.00,82.61,40.00,67.86
SSE.600036,1.4770,2.9036,39.53,75.00,35.90,10.71,93.33,18.75,51.85
SSE.600031,0.8695,0.9334,41.86,0.00,41.86,0.00,100.00,0.00,59.02
SSE.600028,0.1594,0.0338,62.79,80.00,57.58,36.36,90.48,50.00,70.37
SSE.600000,0.3676,0.2084,46.51,30.77,53.33,22.22,64.00,25.81,58.18
train,2.1781,47.2146,51.86,50.35,52.61,34.44,68.19,40.90,59.40
test,1.8362,43.2702,53.82,49.34,58.39,54.74,53.05,51.90,55.59
test,1.8362,43.2702,53.82,49.34,58.39,54.74,53.05,51.90,55.59
SZSE.300498,1.8138,4.6039,44.19,42.11,45.83,38.10,50.00,40.00,47.83
SZSE.300122,1.4020,2.8932,62.79,57.58,80.00,90.48,36.36,70.37,50.00
SZSE.300059,0.7764,0.9719,44.19,40.00,62.50,82.35,19.23,53.85,29.41
SZSE.002812,1.7131,4.3308,62.79,52.17,75.00,70.59,57.69,60.00,65.22
SZSE.002594,1.7597,5.4910,60.47,54.17,68.42,68.42,54.17,60.47,60.47
