股票代码,盈亏,开仓日期,开仓时间,平仓日期,平仓时间,开仓价格,平仓价格,价差,数量,资金占用,收益（含手续费）,手续费,10500000,
SZSE.300122,平多止损,2018-12-17,0:00:00,2019-1-2,0:00:00,38.58,36.07,-2.51,77,297066,-19327,366.62,10480673,0.001840667
SZSE.002594,平多收益,2019-1-2,0:00:00,2019-1-8,0:00:00,49.17,52.88,3.71,61,299937,22631,425.79,10503304,
SZSE.002475,平多收益,2018-12-17,0:00:00,2019-1-2,0:00:00,13.5,14.14,0.64,222,299700,14208,414.36,10517512,
SZSE.002027,平多收益,2018-12-27,0:00:00,2019-1-10,0:00:00,5.33,5.62,0.29,562,299546,16298,416.91,10533810,
SZSE.000917,平多收益,2018-11-30,0:00:00,2018-12-4,0:00:00,6.15,6.93,0.78,487,299505,37986,445.49,10571796,
SZSE.000917,平多止损,2019-1-25,0:00:00,2019-1-29,0:00:00,6.59,6.15,-0.44,455,299845,-20020,369.37,10551776,
SSE.600276,平多止损,2018-12-17,0:00:00,2019-1-2,0:00:00,57.19,52.97,-4.22,52,297388,-21944,363.59,10529832,
SSE.600028,平多收益,2018-12-28,0:00:00,2019-1-9,0:00:00,5.05,5.35,0.3,594,299970,17820,419.48,10547652,
SZSE.300498,平多收益,2019-3-22,0:00:00,2019-3-29,0:00:00,37.58,40.6,3.02,79,296882,23858,423.38,10571510,
SZSE.000917,平多收益,2019-1-31,0:00:00,2019-2-1,0:00:00,5.72,6.03,0.31,524,299728,16244,417.08,10587754,
SZSE.000917,平多止损,2019-3-26,0:00:00,2019-4-9,0:00:00,9.16,8.89,-0.27,327,299532,-8829,383.73,10578925,
SZSE.000725,平多收益,2019-3-14,0:00:00,2019-3-22,0:00:00,3.81,4.07,0.26,787,299847,20462,422.81,10599387,
SSE.600276,平多收益,2019-4-8,0:00:00,2019-4-9,0:00:00,63.98,64.82,0.84,46,294308,3864,393.59,10603251,
