code,mape,mdape,acc,pre_pos,pre_neg,rec_pos,rec_neg,F1_pos,F1_neg
BayesSZSE.300498,0.4184,0.2985,50.17,48.32,52.03,50.35,50,49.32,50.99
BayesSZSE.300122,2.7073,12.3979,50.51,47.59,54.2,56.83,44.94,51.8,49.13
BayesSZSE.300059,0.5065,0.5572,47.47,44.95,52.53,65.44,32.3,53.29,40
BayesSZSE.002812,5.3351,45.3951,41.41,36.89,55.56,72.17,21.98,48.82,31.5
BayesSZSE.002594,6.2954,66.3021,53.54,49.72,59.3,64.96,43.75,56.33,50.36
BayesSZSE.002475,0.8396,1.1871,47.81,41.46,55.64,53.54,43.53,46.74,48.84
BayesSZSE.002352,1.0797,1.9796,45.79,40.94,50.68,45.52,46.01,43.11,48.23
BayesSZSE.002027,0.1367,0.0317,48.82,42.31,56.03,51.56,46.75,46.48,50.97
BayesSZSE.000917,0.0898,0.015,52.86,49.77,60.98,76.98,31.65,60.45,41.67
BayesSZSE.000858,3.5114,19.5186,46.13,43.64,49.24,51.8,41.14,47.37,44.83
BayesSZSE.000776,0.3113,0.1824,62.96,61.11,64.02,49.25,74.23,54.55,68.75
BayesSZSE.000725,0.0477,0.0044,51.52,42.26,63.57,60.17,45.81,49.65,53.25
BayesSZSE.000568,4.5232,34.0212,51.85,47.95,55.63,51.09,52.5,49.47,54.02
BayesSZSE.000002,0.4666,0.3195,46.46,45.86,71.43,98.52,3.09,62.59,5.92
BayesSZSE.000001,0.2277,0.0927,50.51,44.87,56.74,53.44,48.19,48.78,52.12
BayesSSE.603288,1.4418,3.8629,48.48,46.75,50.78,55.63,41.94,50.8,45.94
BayesSSE.601985,0.1051,0.0227,53.54,48.24,55.66,30.37,72.84,37.27,63.1
BayesSSE.601939,0.0442,0.0036,45.79,44.93,57.14,93.23,7.32,60.64,12.97
BayesSSE.601919,0.3824,0.276,50.17,46.6,58.24,71.64,32.52,56.47,41.73
BayesSSE.601888,4.442,32.5739,52.86,50.32,55.63,55.32,50.64,52.7,53.02
BayesSSE.601398,0.0279,0.0015,46.13,44.27,60,89.23,12.57,59.18,20.79
BayesSSE.601318,0.6944,0.8066,48.15,47.79,52,91.55,8.39,62.8,14.44
BayesSSE.601166,0.2563,0.1242,49.49,45.71,52.87,46.38,52.2,46.04,52.53
BayesSSE.601088,0.5355,0.5479,50.51,62.22,48.41,17.72,87.77,27.59,62.4
BayesSSE.600900,0.2266,0.0949,54.21,50.42,56.74,43.8,63.12,46.88,59.76
BayesSSE.600887,0.4596,0.3915,46.13,42.14,50.72,49.63,43.21,45.58,46.67
BayesSSE.600585,0.5642,0.576,47.81,43.68,53.66,57.14,40.24,49.51,45.99
BayesSSE.600519,25.2203,1177.7392,51.85,45.77,57.42,49.62,53.61,47.62,55.45
BayesSSE.600436,6.6946,81.6233,45.79,44.75,52.5,85.82,12.88,58.82,20.69
BayesSSE.600276,0.7686,0.935,45.12,44.57,52.38,92.48,6.71,60.15,11.89
BayesSSE.600048,0.3441,0.2109,49.83,51.61,48.55,41.83,58.33,46.21,53
BayesSSE.600036,0.6802,0.8468,48.82,45.29,53.54,56.62,42.24,50.33,47.22
BayesSSE.600031,0.3507,0.2167,46.46,43.43,50.82,55.88,38.51,48.87,43.82
BayesSSE.600028,0.0398,0.0031,56.23,56.41,56.11,45.52,66.45,50.38,60.84
BayesSSE.600000,0.0725,0.0087,44.44,43.79,71.43,98.45,2.98,60.62,5.71
,1.9956,42.3762,49.42,46.75,55.78,60.84,40.58,51.06,43.1
