code,mape,mdape,acc,pre_pos,pre_neg,rec_pos,rec_neg,F1_pos,F1_neg
LinearSZSE.300498,0.6664,1.0671,49.68,46.45,53.85,56.54,43.75,51.00,48.28
LinearSZSE.300122,4.2821,42.3655,48.81,50.76,46.85,48.96,48.65,49.84,47.73
LinearSZSE.300059,0.6695,0.9106,49.24,50.00,48.52,48.19,50.33,49.08,49.41
LinearSZSE.002812,4.7331,50.1356,48.38,47.64,49.37,55.75,41.31,51.38,44.98
LinearSZSE.002594,5.3623,66.0724,51.95,54.14,50.10,47.81,56.40,50.78,53.07
LinearSZSE.002475,1.1723,2.4833,50.32,47.50,53.66,54.84,46.33,50.91,49.73
LinearSZSE.002352,1.3812,3.6713,50.11,46.95,53.70,53.60,47.06,50.05,50.16
LinearSZSE.002027,0.1813,0.0603,50.54,45.91,56.34,56.87,45.38,50.81,50.27
LinearSZSE.000917,0.1530,0.0470,50.97,48.72,53.30,51.93,50.10,50.27,51.65
LinearSZSE.000858,4.6585,41.9747,49.13,51.39,46.83,49.69,48.53,50.53,47.66
LinearSZSE.000776,0.3630,0.2893,51.73,49.41,53.71,47.62,55.49,48.50,54.58
LinearSZSE.000725,0.0964,0.0180,52.81,46.94,58.58,52.70,52.91,49.65,55.60
LinearSZSE.000568,4.7430,48.6290,51.62,54.21,48.74,54.10,48.85,54.15,48.80
LinearSZSE.000002,0.5168,0.4582,49.89,46.85,53.87,56.98,43.72,51.42,48.27
LinearSZSE.000001,0.3453,0.2187,50.22,46.83,54.02,53.38,47.47,49.89,50.54
LinearSSE.603288,2.8015,16.3916,49.24,49.81,48.54,54.82,43.54,52.19,45.91
LinearSSE.601985,0.1027,0.0243,50.54,45.03,56.84,54.41,47.48,49.28,51.74
LinearSSE.601939,0.0759,0.0119,46.97,43.63,51.54,55.21,40.04,48.74,45.07
LinearSSE.601919,0.4226,0.5326,50.11,48.46,52.22,56.40,44.26,52.13,47.91
LinearSSE.601888,6.6947,106.5933,49.13,50.63,48.00,42.53,56.12,46.22,51.75
LinearSSE.601398,0.0467,0.0041,49.89,43.93,56.28,51.85,48.36,47.57,52.02
LinearSSE.601318,1.1364,2.3489,47.62,44.17,52.12,54.61,41.72,48.84,46.34
LinearSSE.601166,0.3329,0.2003,50.32,48.04,53.49,58.90,42.59,52.92,47.42
LinearSSE.601088,0.4486,0.4231,49.46,50.95,48.21,45.05,54.12,47.82,51.00
LinearSSE.600900,0.2401,0.1057,50.32,48.40,52.06,47.64,52.82,48.02,52.44
LinearSSE.600887,0.7071,0.9689,51.19,52.15,50.40,46.48,56.04,49.15,53.07
LinearSSE.600585,0.8935,1.3147,49.46,45.49,53.30,48.59,50.20,46.99,51.71
LinearSSE.600519,30.9638,1772.7474,50.54,50.49,50.61,55.84,45.24,53.03,47.77
LinearSSE.600436,6.4523,94.1251,51.52,53.19,49.78,52.30,50.67,52.74,50.22
LinearSSE.600276,1.4591,4.3341,53.14,52.51,53.76,52.85,53.42,52.68,53.59
LinearSSE.600048,0.3277,0.1910,53.90,51.39,56.10,50.68,56.79,51.03,56.44
LinearSSE.600036,0.8258,1.2338,50.32,47.16,54.24,56.05,45.34,51.22,49.39
LinearSSE.600031,0.6564,1.0829,50.87,51.42,50.32,50.32,51.42,50.87,50.87
LinearSSE.600028,0.0506,0.0047,55.30,50.35,59.60,51.92,58.07,51.12,58.82
LinearSSE.600000,0.1155,0.0259,49.78,46.44,54.36,58.22,42.57,51.67,47.75
