股票代码,盈亏,开仓日期,开仓时间,平仓日期,平仓时间,开仓价格,平仓价格,价差,数量,资金占用,收益（含手续费）,手续费
SZSE.300498,平多收益,2019-04-09,00:00:00,2019-04-23,00:00:00,40.16,40.86,0.70,74.00,297184,5180,399.12
SZSE.300498,平多止损,2019-04-30,00:00:00,2019-05-17,00:00:00,41.21,35.57,-5.64,72.00,296712,-40608,338.06
SZSE.300498,平多收益,2019-05-20,00:00:00,2019-05-27,00:00:00,34.00,35.85,1.85,88.00,299200,16280,416.43
SZSE.300498,平多收益,2019-05-28,00:00:00,2019-06-12,00:00:00,38.38,38.87,0.49,78.00,299364,3822,400.21
SZSE.300498,平多收益,2019-06-25,00:00:00,2019-07-09,00:00:00,36.08,38.25,2.17,83.00,299464,18011,419.07
SZSE.300498,平多收益,2019-07-12,00:00:00,2019-07-19,00:00:00,38.55,40.85,2.30,77.00,296835,17710,415.20
SZSE.300498,平多收益,2019-07-26,00:00:00,2019-08-01,00:00:00,39.45,41.98,2.53,76.00,299820,19228,421.14
SZSE.300498,平多收益,2020-01-23,00:00:00,2020-02-14,00:00:00,32.68,33.25,0.57,91.00,297388,5187,399.40
SZSE.300498,平多收益,2020-06-11,00:00:00,2020-06-29,00:00:00,20.95,21.60,0.65,143.00,299585,9295,407.72
SZSE.300498,平多收益,2022-05-17,00:00:00,2022-05-31,00:00:00,17.80,18.07,0.27,168.00,299040,4536,400.72
SZSE.300498,平多止损,2022-10-24,00:00:00,2022-11-07,00:00:00,19.86,18.98,-0.88,151.00,299886,-13288,378.31
SZSE.300498,平多收益,2022-11-25,00:00:00,2022-12-02,00:00:00,17.42,18.51,1.09,172.00,299624,18748,420.25
SZSE.300122,平多收益,2020-08-13,00:00:00,2020-08-18,00:00:00,142.00,149.87,7.87,21.00,298200,16527,415.44
SZSE.300122,平多收益,2020-09-23,00:00:00,2020-10-09,00:00:00,142.02,150.00,7.98,21.00,298242,16758,415.80
SZSE.300122,平多止损,2020-10-12,00:00:00,2020-10-26,00:00:00,155.79,142.42,-13.37,19.00,296001,-25403,357.19
SZSE.300122,平多收益,2020-10-27,00:00:00,2020-10-29,00:00:00,146.00,161.11,15.11,20.00,292000,30220,425.33
SZSE.300122,平多止损,2020-10-30,00:00:00,2020-11-13,00:00:00,160.18,131.94,-28.24,18.00,288324,-50832,313.49
SZSE.300122,平多收益,2021-01-25,00:00:00,2021-02-03,00:00:00,167.00,179.62,12.62,17.00,283900,21454,403.07
SZSE.300122,平多收益,2021-07-27,00:00:00,2021-07-30,00:00:00,148.24,157.89,9.65,20.00,296480,19300,416.83
SZSE.300122,平多收益,2021-08-19,00:00:00,2021-08-23,00:00:00,151.10,166.42,15.32,19.00,287090,29108,417.38
SZSE.300122,平多止损,2021-09-08,00:00:00,2021-09-24,00:00:00,159.90,159.71,-0.19,18.00,287820,-342,379.47
SZSE.300122,平多收益,2021-10-08,00:00:00,2021-10-22,00:00:00,146.14,150.73,4.59,20.00,292280,9180,397.93
SZSE.300122,平多止损,2021-11-16,00:00:00,2021-11-30,00:00:00,137.00,128.88,-8.12,21.00,287700,-17052,357.26
SZSE.300122,平多收益,2021-12-06,00:00:00,2021-12-09,00:00:00,120.29,130.04,9.75,24.00,288696,23400,411.97
SZSE.300122,平多收益,2022-01-24,00:00:00,2022-02-08,00:00:00,105.55,114.50,8.95,28.00,295540,25060,423.19
SZSE.300122,平多止损,2022-04-14,00:00:00,2022-04-28,00:00:00,116.00,93.72,-22.28,25.00,290000,-55700,309.28
SZSE.300122,平多止损,2022-05-19,00:00:00,2022-06-02,00:00:00,91.82,84.60,-7.22,32.00,293824,-23104,357.35
SZSE.300122,平多收益,2022-09-16,00:00:00,2022-09-27,00:00:00,82.90,87.89,4.99,36.00,298440,17964,417.65
SZSE.300059,平多收益,2019-06-10,00:00:00,2019-06-11,00:00:00,12.17,13.12,0.95,246.00,299382,23370,426.03
SZSE.300059,平多收益,2019-06-12,00:00:00,2019-06-20,00:00:00,12.86,13.63,0.77,233.00,299638,17941,419.20
SZSE.300059,平多收益,2020-05-21,00:00:00,2020-06-01,00:00:00,14.68,15.44,0.76,204.00,299472,15504,415.77
SZSE.300059,平多止损,2020-10-22,00:00:00,2020-11-05,00:00:00,26.09,24.98,-1.11,114.00,297426,-12654,375.90
SZSE.300059,平多收益,2020-11-06,00:00:00,2020-11-09,00:00:00,25.20,26.92,1.72,119.00,299880,20468,422.86
SZSE.300059,平多止损,2020-11-10,00:00:00,2020-11-24,00:00:00,26.67,26.11,-0.56,112.00,298704,-6272,386.01
SZSE.300059,平多收益,2021-04-12,00:00:00,2021-04-14,00:00:00,26.85,28.38,1.53,111.00,298035,16983,415.82
SZSE.300059,平多止损,2021-05-27,00:00:00,2021-06-10,00:00:00,31.42,31.29,-0.13,95.00,298490,-1235,392.38
SZSE.300059,平多止损,2022-02-14,00:00:00,2022-02-28,00:00:00,27.49,26.74,-0.75,109.00,299641,-8175,384.74
SZSE.300059,平多收益,2022-04-20,00:00:00,2022-04-27,00:00:00,20.61,21.65,1.04,145.00,298845,15080,414.38
SZSE.002812,平多收益,2019-07-09,00:00:00,2019-07-23,00:00:00,30.69,31.55,0.86,97.00,297693,8342,403.97
SZSE.002812,平多止损,2019-07-31,00:00:00,2019-08-14,00:00:00,33.63,30.88,-2.75,89.00,299307,-24475,362.78
SZSE.002812,平多收益,2019-08-16,00:00:00,2019-08-19,00:00:00,30.09,32.28,2.19,99.00,297891,21681,421.84
SZSE.002812,平多收益,2019-08-26,00:00:00,2019-09-09,00:00:00,31.39,31.73,0.34,95.00,298205,3230,397.89
SZSE.002812,平多收益,2019-09-24,00:00:00,2019-10-09,00:00:00,33.02,35.04,2.02,90.00,297180,18180,416.28
SZSE.002812,平多收益,2019-10-30,00:00:00,2019-11-06,00:00:00,33.90,37.48,3.58,88.00,298320,31504,435.37
SZSE.002812,平多止损,2020-03-12,00:00:00,2020-03-26,00:00:00,53.96,45.00,-8.96,55.00,296780,-49280,326.70
SZSE.002812,平多收益,2020-09-25,00:00:00,2020-09-29,00:00:00,86.00,91.41,5.41,34.00,292400,18394,410.25
SZSE.002812,平多止损,2021-02-02,00:00:00,2021-02-23,00:00:00,137.70,113.40,-24.30,21.00,289170,-51030,314.34
SZSE.002812,平多收益,2021-02-24,00:00:00,2021-03-02,00:00:00,107.90,115.91,8.01,27.00,291330,21627,413.10
SZSE.002812,平多收益,2021-03-04,00:00:00,2021-03-10,00:00:00,107.90,116.10,8.20,27.00,291330,22140,413.78
SZSE.002812,平多止损,2021-03-11,00:00:00,2021-03-25,00:00:00,117.48,112.60,-4.88,25.00,293700,-12200,371.58
SZSE.002812,平多收益,2021-04-06,00:00:00,2021-04-20,00:00:00,117.00,124.71,7.71,25.00,292500,19275,411.54
SZSE.002812,平多收益,2021-05-07,00:00:00,2021-05-17,00:00:00,129.73,136.67,6.94,23.00,298379,15962,414.93
SZSE.002812,平多收益,2021-08-16,00:00:00,2021-08-19,00:00:00,241.44,258.30,16.86,12.00,289728,20232,409.15
SZSE.002812,平多收益,2021-10-14,00:00:00,2021-10-15,00:00:00,264.80,278.50,13.70,11.00,291280,15070,404.38
SZSE.002812,平多止损,2021-11-05,00:00:00,2021-11-19,00:00:00,268.32,259.00,-9.32,11.00,295152,-10252,376.07
SZSE.002812,平多止损,2022-09-14,00:00:00,2022-09-28,00:00:00,181.78,179.14,-2.64,16.00,290848,-4224,378.34
SZSE.002812,平多收益,2022-10-28,00:00:00,2022-11-01,00:00:00,149.00,156.85,7.85,20.00,298000,15700,414.08
SZSE.002594,平多止损,2019-10-30,00:00:00,2019-11-13,00:00:00,43.96,43.28,-0.68,68.00,298928,-4624,388.48
SZSE.002594,平多收益,2019-11-15,00:00:00,2019-11-29,00:00:00,43.12,43.39,0.27,69.00,297528,1863,395.20
SZSE.002594,平多收益,2019-12-02,00:00:00,2019-12-16,00:00:00,43.15,44.13,0.98,69.00,297735,6762,401.94
SZSE.002594,平多收益,2020-03-18,00:00:00,2020-03-27,00:00:00,52.09,54.78,2.69,57.00,296913,15333,412.16
SZSE.002594,平多收益,2020-09-24,00:00:00,2020-09-30,00:00:00,106.40,116.24,9.84,28.00,297920,27552,429.62
SZSE.002594,平多收益,2020-11-11,00:00:00,2020-11-13,00:00:00,164.35,175.90,11.55,18.00,295830,20790,417.94
SZSE.002594,平多收益,2020-11-19,00:00:00,2020-11-20,00:00:00,161.62,176.06,14.44,18.00,290916,25992,418.32
SZSE.002594,平多收益,2020-12-14,00:00:00,2020-12-21,00:00:00,170.20,193.60,23.40,17.00,289340,39780,434.44
SZSE.002594,平多收益,2020-12-30,00:00:00,2021-01-04,00:00:00,186.00,206.76,20.76,16.00,297600,33216,436.68
SZSE.002594,平多收益,2021-01-18,00:00:00,2021-01-21,00:00:00,221.69,235.52,13.83,13.00,288197,17979,404.15
SZSE.002594,平多收益,2021-01-26,00:00:00,2021-02-02,00:00:00,254.22,267.50,13.28,11.00,279642,14608,388.41
SZSE.002594,平多收益,2021-02-05,00:00:00,2021-02-10,00:00:00,249.00,266.95,17.95,12.00,298800,21540,422.85
SZSE.002594,平多止损,2021-02-19,00:00:00,2021-03-05,00:00:00,257.35,196.37,-60.98,11.00,283085,-67078,285.13
SZSE.002594,平多止损,2021-03-08,00:00:00,2021-03-22,00:00:00,176.73,173.80,-2.93,16.00,282768,-4688,367.07
SZSE.002594,平多收益,2021-03-23,00:00:00,2021-04-07,00:00:00,168.97,170.99,2.02,17.00,287249,3434,383.70
SZSE.002594,平多收益,2021-04-12,00:00:00,2021-04-19,00:00:00,163.46,176.05,12.59,18.00,294228,22662,418.29
SZSE.002594,平多止损,2021-08-19,00:00:00,2021-09-02,00:00:00,293.72,267.00,-26.72,10.00,293720,-26720,352.44
SZSE.002475,平多收益,2019-05-20,00:00:00,2019-05-21,00:00:00,20.00,21.27,1.27,150.00,300000,19050,421.15
SZSE.002475,平多收益,2019-09-11,00:00:00,2019-09-16,00:00:00,24.37,26.00,1.63,123.00,299751,20049,422.14
SZSE.002475,平多止损,2020-02-26,00:00:00,2020-03-11,00:00:00,47.61,43.97,-3.64,63.00,299943,-22932,365.65
SZSE.002475,平多止损,2020-03-16,00:00:00,2020-03-30,00:00:00,38.66,38.18,-0.48,77.00,297682,-3696,388.06
SZSE.002475,平多收益,2020-03-31,00:00:00,2020-04-02,00:00:00,38.16,41.98,3.82,78.00,297648,29796,432.23
SZSE.002475,平多收益,2020-04-10,00:00:00,2020-04-17,00:00:00,39.65,42.09,2.44,75.00,297375,18300,416.69
SZSE.002475,平多收益,2020-06-17,00:00:00,2020-06-18,00:00:00,42.89,45.65,2.76,69.00,295941,19044,415.78
SZSE.002475,平多收益,2020-09-17,00:00:00,2020-09-23,00:00:00,53.68,56.40,2.72,55.00,295240,14960,409.46
SZSE.002475,平多收益,2020-11-26,00:00:00,2020-12-07,00:00:00,50.18,52.77,2.59,59.00,296062,15281,410.97
