code,mape,mdape,acc,pre_pos,pre_neg,rec_pos,rec_neg,F1_pos,F1_neg
LSTMSZSE.300498,6.0932,62.0238,48.50,45.55,53.12,60.34,38.40,51.91,44.58
LSTMSZSE.300122,38.2347,2277.9409,48.28,50.10,46.24,51.07,45.29,50.58,45.76
LSTMSZSE.300059,6.6651,63.1864,49.28,49.67,48.88,49.89,48.66,49.78,48.77
LSTMSZSE.002812,67.5908,6145.9634,44.74,43.10,46.17,41.04,48.27,42.04,47.20
LSTMSZSE.002594,59.1686,6148.7155,48.28,50.14,47.05,38.68,58.62,43.67,52.20
LSTMSZSE.002475,8.7036,131.1217,50.17,47.11,53.44,52.01,48.54,49.44,50.87
LSTMSZSE.002352,19.1318,642.0627,50.72,47.42,54.55,54.76,47.20,50.83,50.61
LSTMSZSE.002027,2.3196,8.7781,48.50,42.79,53.39,43.95,52.21,43.36,52.79
LSTMSZSE.000917,1.3911,2.9264,50.83,48.71,53.50,56.84,45.34,52.46,49.08
LSTMSZSE.000858,58.1659,4955.8651,47.84,50.10,45.02,53.18,42.00,51.59,43.46
LSTMSZSE.000776,3.2581,15.7771,49.06,47.13,51.33,53.24,45.22,50.00,48.08
LSTMSZSE.000725,1.0109,1.2709,45.29,40.67,51.13,51.25,40.56,45.35,45.23
LSTMSZSE.000568,49.5951,4146.9944,49.17,51.95,46.57,47.69,50.82,49.73,48.60
LSTMSZSE.000002,3.8509,22.5785,50.61,47.62,54.39,56.87,45.11,51.84,49.32
LSTMSZSE.000001,4.1895,22.1579,44.85,43.19,48.05,61.63,30.45,50.79,37.28
LSTMSSE.603288,31.2322,1800.3543,47.18,48.24,45.58,56.99,37.08,52.25,40.89
LSTMSSE.601985,1.1206,1.7899,49.28,42.49,54.35,41.00,55.86,41.73,55.10
LSTMSSE.601939,0.6834,1.3290,51.83,47.90,56.68,57.73,46.83,52.35,51.29
LSTMSSE.601919,6.3681,65.7043,46.18,45.10,47.58,52.75,40.04,48.63,43.49
LSTMSSE.601888,83.1199,11172.5508,48.28,49.64,47.11,44.83,51.94,47.11,49.40
LSTMSSE.601398,0.4513,0.3077,49.72,44.92,56.91,60.90,40.87,51.70,47.58
LSTMSSE.601318,12.9264,263.5899,48.28,44.49,52.78,52.78,44.49,48.28,48.28
LSTMSSE.601166,3.2797,17.6530,50.94,48.41,54.14,57.14,45.38,52.42,49.37
LSTMSSE.601088,4.1973,26.4831,49.28,50.47,48.63,34.92,64.25,41.28,55.36
LSTMSSE.600900,2.0667,6.4278,50.94,48.63,52.26,36.87,63.97,41.94,57.53
LSTMSSE.600887,5.5149,45.5205,49.28,50.21,48.24,51.96,46.50,51.07,47.36
LSTMSSE.600585,7.7494,83.7213,47.73,45.29,52.43,64.66,33.26,53.27,40.70
LSTMSSE.600519,358.5911,206486.2567,49.72,49.77,49.68,47.79,51.66,48.76,50.65
LSTMSSE.600436,96.2628,14284.8718,47.84,49.20,46.87,39.78,56.39,44.00,51.19
LSTMSSE.600276,16.2164,414.2573,50.06,49.56,50.56,50.78,49.34,50.17,49.94
LSTMSSE.600048,2.2699,9.4287,50.50,47.63,52.58,42.19,58.02,44.75,55.17
LSTMSSE.600036,7.9141,86.3656,49.72,47.09,52.97,55.29,44.77,50.87,48.53
LSTMSSE.600031,7.5747,86.1611,46.40,46.99,45.73,49.67,43.08,48.29,44.37
LSTMSSE.600028,0.4592,0.3951,50.61,44.68,55.02,42.47,57.23,43.54,56.10
LSTMSSE.600000,1.3359,3.0421,48.17,46.02,52.78,67.54,31.40,54.74,39.38
