股票代码,盈亏,开仓日期,开仓时间,平仓日期,平仓时间,开仓价格,平仓价格,价差,数量,资金占用,收益（含手续费）,手续费
SZSE.300498,平多收益,2018-11-28,00:00:00,2018-11-29,00:00:00,38.47,40.60,2.13,77.00,296219,16401,412.66
SZSE.300498,平多止损,2018-11-30,00:00:00,2018-12-14,00:00:00,43.00,37.93,-5.07,69.00,296700,-34983,345.47
SZSE.300498,平多止损,2018-12-17,00:00:00,2019-01-02,00:00:00,40.39,37.75,-2.64,74.00,298886,-19536,368.74
SZSE.300498,平多止损,2019-01-03,00:00:00,2019-01-17,00:00:00,37.38,35.16,-2.22,80.00,299040,-17760,371.29
SZSE.300498,平多收益,2019-01-18,00:00:00,2019-01-24,00:00:00,35.14,38.38,3.24,85.00,298690,27540,430.62
SZSE.300498,平多收益,2019-01-25,00:00:00,2019-02-18,00:00:00,38.29,39.26,0.97,78.00,298662,7566,404.22
SZSE.300498,平多止损,2019-02-19,00:00:00,2019-03-05,00:00:00,37.61,36.86,-0.75,79.00,297119,-5925,384.38
SZSE.300498,平多收益,2019-03-06,00:00:00,2019-03-19,00:00:00,36.92,40.14,3.22,81.00,299052,26082,429.18
SZSE.300498,平多收益,2019-04-01,00:00:00,2019-04-08,00:00:00,39.45,41.98,2.53,76.00,299820,19228,421.14
SZSE.300498,平多收益,2019-08-19,00:00:00,2019-09-02,00:00:00,33.25,33.26,0.01,90.00,299250,90,395.13
SZSE.300498,平多收益,2019-09-03,00:00:00,2019-09-06,00:00:00,33.60,35.83,2.23,89.00,299040,19847,420.93
SZSE.300498,平多止损,2019-09-12,00:00:00,2019-09-27,00:00:00,36.15,29.41,-6.74,82.00,296430,-55268,318.33
SZSE.300498,平多收益,2019-09-30,00:00:00,2019-10-11,00:00:00,30.26,32.25,1.99,99.00,299574,19701,421.44
SZSE.300498,平多收益,2019-10-14,00:00:00,2019-10-18,00:00:00,32.16,34.33,2.17,93.00,299088,20181,421.44
SZSE.300498,平多收益,2019-10-21,00:00:00,2019-10-28,00:00:00,33.89,35.60,1.71,88.00,298232,15048,413.53
SZSE.300498,平多收益,2019-10-29,00:00:00,2019-11-06,00:00:00,35.37,38.00,2.63,84.00,297108,22092,421.34
SZSE.300498,平多止损,2019-11-07,00:00:00,2019-11-21,00:00:00,36.20,31.48,-4.72,82.00,296840,-38704,340.74
SZSE.300498,平多收益,2019-11-22,00:00:00,2019-12-02,00:00:00,30.54,32.30,1.76,98.00,299292,17248,417.83
SZSE.300498,平多止损,2019-12-03,00:00:00,2019-12-17,00:00:00,31.63,30.50,-1.13,94.00,297322,-10622,378.44
SZSE.300498,平多止损,2019-12-18,00:00:00,2020-01-03,00:00:00,30.79,30.34,-0.45,97.00,298663,-4365,388.47
SZSE.300498,平多止损,2020-01-06,00:00:00,2020-01-20,00:00:00,30.20,26.66,-3.54,99.00,298980,-35046,348.39
SZSE.300498,平多收益,2020-01-21,00:00:00,2020-02-12,00:00:00,26.85,27.50,0.65,111.00,298035,7215,402.93
SZSE.300498,平多止损,2020-02-13,00:00:00,2020-02-27,00:00:00,27.43,21.37,-6.06,109.00,298987,-66054,307.47
SZSE.300498,平多收益,2020-02-28,00:00:00,2020-03-09,00:00:00,21.90,23.79,1.89,136.00,297840,25704,427.08
SZSE.300498,平多收益,2020-03-10,00:00:00,2020-03-16,00:00:00,23.55,25.66,2.11,127.00,299085,26797,430.16
SZSE.300498,平多止损,2020-03-17,00:00:00,2020-03-31,00:00:00,26.11,23.90,-2.21,114.00,297654,-25194,359.65
SZSE.300498,平多止损,2020-04-01,00:00:00,2020-04-16,00:00:00,24.14,23.50,-0.64,124.00,299336,-7936,384.65
SZSE.300498,平多止损,2020-04-17,00:00:00,2020-05-06,00:00:00,23.73,23.50,-0.23,126.00,298998,-2898,390.85
SZSE.300498,平多止损,2020-05-07,00:00:00,2020-05-22,00:00:00,24.96,21.59,-3.37,120.00,299520,-40440,341.99
SZSE.300498,平多止损,2020-05-25,00:00:00,2020-06-08,00:00:00,21.48,19.93,-1.55,139.00,298572,-21545,365.68
SZSE.300498,平多收益,2020-06-09,00:00:00,2020-06-12,00:00:00,19.54,20.60,1.06,153.00,298962,16218,416.04
SZSE.300498,平多止损,2020-06-15,00:00:00,2020-07-01,00:00:00,20.09,18.49,-1.60,149.00,299341,-23840,363.66
SZSE.300498,平多止损,2020-07-02,00:00:00,2020-07-17,00:00:00,19.47,18.55,-0.92,154.00,299838,-14168,377.08
SZSE.300498,平多收益,2020-07-20,00:00:00,2020-08-03,00:00:00,19.22,19.30,0.08,156.00,299832,1248,397.43
SZSE.300498,平多止损,2020-08-04,00:00:00,2020-08-18,00:00:00,19.37,19.20,-0.17,154.00,298298,-2618,390.30
SZSE.300498,平多止损,2020-08-19,00:00:00,2020-09-02,00:00:00,18.95,18.12,-0.83,158.00,299410,-13114,377.91
SZSE.300498,平多收益,2020-09-03,00:00:00,2020-09-04,00:00:00,18.23,19.40,1.17,164.00,298972,19188,419.97
SZSE.300498,平多止损,2020-09-07,00:00:00,2020-09-22,00:00:00,19.83,18.25,-1.58,151.00,299433,-23858,363.76
SZSE.300498,平多收益,2020-09-30,00:00:00,2020-10-22,00:00:00,17.47,17.55,0.08,171.00,298737,1368,396.14
SZSE.300498,平多止损,2020-11-11,00:00:00,2020-11-26,00:00:00,17.33,17.29,-0.04,173.00,299809,-692,394.83
SZSE.300498,平多止损,2020-12-15,00:00:00,2020-12-29,00:00:00,15.87,14.28,-1.59,189.00,299943,-30051,356.26
SZSE.300498,平多止损,2020-12-30,00:00:00,2021-01-14,00:00:00,14.46,13.93,-0.53,207.00,299322,-10971,380.62
SZSE.300498,平多收益,2021-01-15,00:00:00,2021-02-01,00:00:00,13.82,14.12,0.30,217.00,299894,6510,404.45
SZSE.300498,平多止损,2021-02-02,00:00:00,2021-02-23,00:00:00,14.49,13.71,-0.78,207.00,299943,-16146,374.61
SZSE.300498,平多收益,2021-02-24,00:00:00,2021-03-02,00:00:00,13.90,14.85,0.95,215.00,298850,20425,421.44
SZSE.300498,平多止损,2021-03-03,00:00:00,2021-03-17,00:00:00,14.37,13.73,-0.64,208.00,298896,-13312,376.97
SZSE.300498,平多止损,2021-03-18,00:00:00,2021-04-01,00:00:00,13.53,12.30,-1.23,221.00,299013,-27183,358.82
SZSE.300498,平多收益,2021-04-02,00:00:00,2021-04-08,00:00:00,12.38,13.35,0.97,242.00,299596,23474,426.45
SZSE.300498,平多止损,2021-04-12,00:00:00,2021-04-26,00:00:00,13.15,13.11,-0.04,228.00,299820,-912,394.56
SZSE.300498,平多收益,2021-04-27,00:00:00,2021-05-14,00:00:00,13.00,13.35,0.35,230.00,299000,8050,405.31
SZSE.300498,平多收益,2021-05-25,00:00:00,2021-06-03,00:00:00,13.19,14.41,1.22,227.00,299413,27694,431.78
SZSE.300498,平多收益,2022-07-01,00:00:00,2022-07-11,00:00:00,17.97,18.98,1.01,166.00,298302,16766,415.89
SZSE.300498,平多止损,2022-07-15,00:00:00,2022-07-29,00:00:00,18.40,17.42,-0.98,163.00,299920,-15974,374.81
SZSE.300498,平多收益,2022-08-01,00:00:00,2022-08-05,00:00:00,17.32,18.51,1.19,173.00,299636,20587,422.69
SZSE.300498,平多收益,2022-08-08,00:00:00,2022-08-22,00:00:00,18.70,18.76,0.06,160.00,299200,960,396.21
