code,mape,mdape,acc,pre_pos,pre_neg,rec_pos,rec_neg,F1_pos,F1_neg
CTTSSZSE.300498,2.6798,9.6548,51.69,50,51.79,5.59,94.77,10.06,66.97
CTTSSZSE.300122,25.7182,825.2897,46.96,46.78,100,100,0.63,63.74,1.26
CTTSSZSE.300059,2.2309,8.3077,48.65,45.7,53.64,62.5,36.88,52.8,43.7
CTTSSZSE.002812,105.9154,12163.3937,38.51,38.51,0,100,0,55.61,0
CTTSSZSE.002594,21.9689,850.7459,53.72,50,58.09,58.39,49.69,53.87,53.56
CTTSSZSE.002475,4.7296,35.0129,45.27,43.38,66.67,93.65,9.41,59.3,16.49
CTTSSZSE.002352,4.0176,26.388,56.42,52.21,59.02,44.03,66.67,47.77,62.61
CTTSSZSE.002027,0.765,0.8342,54.73,45.45,57.39,23.44,78.57,30.93,66.33
CTTSSZSE.000917,0.386,0.2071,55.74,54.17,56.5,37.41,71.97,44.26,63.31
CTTSSZSE.000858,27.0454,1105.192,47.97,47.04,53.49,85.61,14.65,60.71,23
CTTSSZSE.000776,1.1267,2.2835,55.74,51.2,59.06,47.76,62.35,49.42,60.66
CTTSSZSE.000725,0.3836,0.201,53.72,40.74,61.17,37.61,64.25,39.11,62.67
CTTSSZSE.000568,17.2324,446.2003,53.04,49.38,57.35,57.66,49.06,53.2,52.88
CTTSSZSE.000002,8.5827,76.3218,45.27,45.27,0,100,0,62.33,0
CTTSSZSE.000001,1.4428,3.195,50.68,45.45,57.25,57.25,45.45,50.68,50.68
CTTSSSE.603288,6.757,61.8523,50,47.06,51.55,33.8,64.94,39.34,57.47
CTTSSSE.601985,0.5369,0.4804,54.73,52.38,54.91,8.15,93.79,14.1,69.27
CTTSSSE.601939,0.1087,0.0193,56.08,52.83,56.79,21.05,84.66,30.11,67.98
CTTSSSE.601919,1.955,5.2464,46.62,45.17,56.76,87.97,12.88,59.69,21
CTTSSSE.601888,13.6862,278.0252,44.59,42.68,46.76,47.52,41.94,44.97,44.22
CTTSSSE.601398,0.3556,0.1477,43.92,43.92,0,100,0,61.03,0
CTTSSSE.601318,6.7783,55.1275,48.31,48.14,100,100,0.65,64.99,1.29
CTTSSSE.601166,0.9609,1.4521,52.03,48.78,56.06,57.97,46.84,52.98,51.03
CTTSSSE.601088,9.6086,98.6641,46.96,0,46.96,0,100,0,63.91
CTTSSSE.600900,1.2418,2.0847,54.39,51.52,55.22,24.82,79.87,33.5,65.3
CTTSSSE.600887,1.2152,2.4478,54.39,50,60,61.48,48.45,55.15,53.61
CTTSSSE.600585,1.5629,4.2614,56.08,52.17,57.27,27.07,79.75,35.64,66.67
CTTSSSE.600519,208.7994,59213.8804,45.27,44.48,60,95.42,5.45,60.68,10
CTTSSSE.600436,41.9212,2549.2992,44.93,44.61,48.15,89.55,8.02,59.55,13.76
CTTSSSE.600276,6.2949,49.487,44.93,44.93,0,100,0,62,0
CTTSSSE.600048,0.7323,0.9034,58.45,57.43,60.64,75.82,39.86,65.35,48.1
CTTSSSE.600036,2.9225,14.8514,51.01,46.81,54.84,48.53,53.12,47.65,53.97
CTTSSSE.600031,3.8812,17.3147,45.95,45.95,0,100,0,62.96,0
CTTSSSE.600028,0.2129,0.0657,51.69,54.17,51.47,8.97,92.72,15.38,66.19
CTTSSSE.600000,1.4869,2.3798,43.58,43.58,0,100,0,60.71,0
,15.2927,2226.0348,50.06,46.34,48.82,59.97,42.78,47.42,39.37
