code,mape,mdape,acc,pre_pos,pre_neg,rec_pos,rec_neg,F1_pos,F1_neg
LinearSZSE.300498,0.6527,1.1189,53.35,49.70,57.68,58.18,49.19,53.61,53.10
LinearSZSE.300122,4.5945,52.0932,46.32,48.31,44.22,47.71,44.82,48.01,44.52
LinearSZSE.300059,0.7354,1.0444,51.08,51.92,50.31,49.04,53.19,50.44,51.71
LinearSZSE.002812,5.3925,69.5424,48.92,48.04,50.00,54.20,43.86,50.94,46.73
LinearSZSE.002594,5.6928,72.8999,50.65,52.53,48.83,49.90,51.46,51.18,50.11
LinearSZSE.002475,1.2581,2.8251,49.57,46.77,52.80,53.46,46.12,49.89,49.24
LinearSZSE.002352,1.4486,3.9730,47.94,44.88,51.38,50.81,45.44,47.66,48.22
LinearSZSE.002027,0.2012,0.0754,48.48,43.79,53.81,51.81,45.78,47.46,49.47
LinearSZSE.000917,0.1598,0.0485,47.29,44.93,49.57,46.26,48.24,45.59,48.90
LinearSZSE.000858,4.9999,47.6624,48.59,50.85,46.27,49.28,47.85,50.05,47.05
LinearSZSE.000776,0.3837,0.3074,49.78,47.26,51.88,44.90,54.24,46.05,53.04
LinearSZSE.000725,0.1036,0.0202,51.84,45.84,57.41,50.00,53.29,47.83,55.28
LinearSZSE.000568,5.1414,58.1863,48.27,51.00,45.05,52.25,43.81,51.62,44.42
LinearSZSE.000002,0.5071,0.4484,50.11,46.93,53.94,55.12,45.75,50.70,49.51
LinearSZSE.000001,0.3556,0.2336,47.84,44.35,51.43,48.48,47.27,46.33,49.26
LinearSSE.603288,2.8137,17.0894,50.32,50.81,49.77,53.75,46.83,52.24,48.25
LinearSSE.601985,0.1067,0.0260,50.54,44.73,56.43,50.98,50.19,47.65,53.13
LinearSSE.601939,0.0751,0.0112,46.65,43.05,51.09,52.13,42.03,47.16,46.12
LinearSSE.601919,0.4675,0.7251,49.46,47.78,51.40,53.26,45.93,50.37,48.51
LinearSSE.601888,6.8567,116.4654,48.38,49.76,47.20,44.42,52.56,46.94,49.74
LinearSSE.601398,0.0473,0.0041,50.22,44.28,56.66,52.59,48.36,48.08,52.18
LinearSSE.601318,1.1286,2.2888,48.59,45.04,53.25,55.79,42.51,49.84,47.28
LinearSSE.601166,0.3440,0.2132,51.19,48.74,54.28,57.31,45.68,52.68,49.61
LinearSSE.601088,0.4604,0.4639,49.68,51.15,48.37,46.74,52.78,48.84,50.48
LinearSSE.600900,0.2502,0.1117,49.57,47.56,51.32,46.07,52.82,46.80,52.06
LinearSSE.600887,0.6913,0.9370,50.65,51.60,49.90,44.56,56.92,47.83,53.18
LinearSSE.600585,0.9013,1.4202,49.57,45.48,53.32,47.18,51.61,46.31,52.45
LinearSSE.600519,32.5927,1910.0959,48.92,49.00,48.82,53.25,44.59,51.04,46.61
LinearSSE.600436,6.8043,107.8868,52.38,54.13,50.65,52.09,52.69,53.09,51.65
LinearSSE.600276,1.5064,4.5062,50.65,50.00,51.29,50.22,51.07,50.11,51.18
LinearSSE.600048,0.3483,0.2158,51.95,49.31,54.29,48.86,54.73,49.08,54.51
LinearSSE.600036,0.8318,1.2151,48.92,45.82,52.61,53.49,44.94,49.36,48.47
LinearSSE.600031,0.6621,1.0823,50.87,51.40,50.33,51.18,50.55,51.29,50.44
LinearSSE.600028,0.0547,0.0054,51.84,46.74,56.58,50.00,53.35,48.32,54.91
LinearSSE.600000,0.1191,0.0273,49.78,46.12,53.92,53.05,46.99,49.34,50.21
