股票代码,盈亏,开仓日期,开仓时间,平仓日期,平仓时间,开仓价格,平仓价格,价差,数量,资金占用,收益（含手续费）,手续费
SZSE.300498,平多止损,2019-04-03,00:00:00,2019-04-18,00:00:00,41.21,39.56,-1.65,72.00,296712,-11880,375.98
SZSE.300498,平多止损,2019-04-24,00:00:00,2019-05-13,00:00:00,42.08,35.80,-6.28,71.00,298768,-44588,335.52
SZSE.300498,平多收益,2019-05-16,00:00:00,2019-05-28,00:00:00,36.50,38.38,1.88,82.00,299300,15416,415.43
SZSE.300498,平多止损,2019-05-31,00:00:00,2019-06-17,00:00:00,39.40,37.61,-1.79,76.00,299440,-13604,377.30
SZSE.300498,平多止损,2019-06-19,00:00:00,2019-07-03,00:00:00,38.07,35.12,-2.95,78.00,296946,-23010,361.60
SZSE.300498,平多收益,2019-07-04,00:00:00,2019-07-05,00:00:00,34.93,36.88,1.95,85.00,296905,16575,413.79
SZSE.300498,平多收益,2019-07-10,00:00:00,2019-07-15,00:00:00,38.17,40.14,1.97,78.00,297726,15366,413.28
SZSE.300498,平多收益,2019-07-19,00:00:00,2019-08-02,00:00:00,40.85,42.13,1.28,73.00,298205,9344,405.96
SZSE.300498,平多收益,2019-08-15,00:00:00,2019-08-29,00:00:00,40.25,41.81,1.56,74.00,297850,11544,408.40
SZSE.300498,平多止损,2020-10-09,00:00:00,2020-10-23,00:00:00,19.66,19.20,-0.46,152.00,298832,-6992,385.23
SZSE.300498,平多收益,2022-05-17,00:00:00,2022-05-31,00:00:00,17.80,18.07,0.27,168.00,299040,4536,400.72
SZSE.300498,平多止损,2022-10-24,00:00:00,2022-11-07,00:00:00,19.86,18.98,-0.88,151.00,299886,-13288,378.31
SZSE.300498,平多收益,2022-11-25,00:00:00,2022-12-02,00:00:00,17.42,18.51,1.09,172.00,299624,18748,420.25
SZSE.300122,平多收益,2020-07-09,00:00:00,2020-07-10,00:00:00,104.28,111.79,7.51,28.00,291984,21028,413.18
SZSE.300122,平多止损,2020-08-12,00:00:00,2020-08-26,00:00:00,145.74,134.50,-11.24,20.00,291480,-22480,355.08
SZSE.300122,平多收益,2020-09-14,00:00:00,2020-09-23,00:00:00,124.81,142.02,17.21,24.00,299544,41304,449.92
SZSE.300122,平多收益,2020-09-28,00:00:00,2020-10-09,00:00:00,137.15,150.00,12.85,21.00,288015,26985,415.80
SZSE.300122,平多止损,2020-10-12,00:00:00,2020-10-26,00:00:00,155.79,142.42,-13.37,19.00,296001,-25403,357.19
SZSE.300122,平多收益,2020-10-27,00:00:00,2020-10-29,00:00:00,146.00,161.11,15.11,20.00,292000,30220,425.33
SZSE.300122,平多止损,2020-11-02,00:00:00,2020-11-16,00:00:00,160.10,135.00,-25.10,18.00,288180,-45180,320.76
SZSE.300122,平多收益,2021-01-25,00:00:00,2021-02-03,00:00:00,167.00,179.62,12.62,17.00,283900,21454,403.07
SZSE.300122,平多收益,2021-02-09,00:00:00,2021-02-10,00:00:00,199.50,212.60,13.10,15.00,299250,19650,420.95
SZSE.300122,平多止损,2021-03-03,00:00:00,2021-03-17,00:00:00,188.68,162.50,-26.18,15.00,283020,-39270,321.75
SZSE.300122,平多收益,2021-03-24,00:00:00,2021-04-07,00:00:00,176.85,189.12,12.27,16.00,282960,19632,399.42
SZSE.300122,平多收益,2021-04-21,00:00:00,2021-04-27,00:00:00,196.45,207.00,10.55,15.00,294675,15825,409.86
SZSE.300122,平多收益,2021-05-11,00:00:00,2021-05-17,00:00:00,209.82,223.05,13.23,14.00,293748,18522,412.20
SZSE.300122,平多止损,2021-05-18,00:00:00,2021-06-01,00:00:00,213.92,196.37,-17.55,14.00,299488,-24570,362.89
SZSE.300122,平多收益,2021-07-27,00:00:00,2021-07-30,00:00:00,148.24,157.89,9.65,20.00,296480,19300,416.83
SZSE.300122,平多收益,2021-08-13,00:00:00,2021-08-23,00:00:00,157.70,166.42,8.72,19.00,299630,16568,417.38
SZSE.300122,平多止损,2021-09-02,00:00:00,2021-09-16,00:00:00,169.19,149.22,-19.97,17.00,287623,-33949,334.85
SZSE.300122,平多止损,2021-11-16,00:00:00,2021-11-30,00:00:00,137.00,128.88,-8.12,21.00,287700,-17052,357.26
SZSE.300122,平多收益,2021-12-01,00:00:00,2021-12-14,00:00:00,124.88,131.49,6.61,24.00,299712,15864,416.56
SZSE.300122,平多收益,2022-01-24,00:00:00,2022-02-08,00:00:00,105.55,114.50,8.95,28.00,295540,25060,423.19
SZSE.300122,平多收益,2022-04-25,00:00:00,2022-05-05,00:00:00,93.21,98.00,4.79,32.00,298272,15328,413.95
SZSE.300122,平多止损,2022-05-09,00:00:00,2022-05-23,00:00:00,97.83,94.75,-3.08,30.00,293490,-9240,375.21
SZSE.300122,平多止损,2022-05-25,00:00:00,2022-06-09,00:00:00,89.65,88.05,-1.60,33.00,295845,-5280,383.55
SZSE.300122,平多收益,2022-09-23,00:00:00,2022-10-14,00:00:00,85.02,94.17,9.15,35.00,297570,32025,435.07
SZSE.300122,平多止损,2022-11-18,00:00:00,2022-12-02,00:00:00,95.17,89.09,-6.08,31.00,295027,-18848,364.56
SZSE.300059,平多止损,2019-05-13,00:00:00,2019-05-27,00:00:00,15.49,12.96,-2.53,193.00,298957,-48829,330.17
SZSE.300059,平多收益,2019-06-04,00:00:00,2019-06-19,00:00:00,12.55,12.87,0.32,239.00,299945,7648,406.02
SZSE.300059,平多止损,2019-06-25,00:00:00,2019-07-09,00:00:00,13.77,13.08,-0.69,217.00,298809,-14973,374.66
SZSE.300059,平多收益,2019-07-15,00:00:00,2019-07-19,00:00:00,13.88,14.79,0.91,216.00,299808,19656,421.69
SZSE.300059,平多收益,2020-06-15,00:00:00,2020-06-19,00:00:00,16.23,18.15,1.92,184.00,298632,35328,440.83
SZSE.300059,平多收益,2020-08-04,00:00:00,2020-08-06,00:00:00,27.21,28.67,1.46,110.00,299310,16060,416.29
SZSE.300059,平多收益,2020-08-14,00:00:00,2020-08-28,00:00:00,25.33,26.33,1.00,118.00,298894,11800,410.12
SZSE.300059,平多止损,2020-10-21,00:00:00,2020-11-04,00:00:00,26.35,24.22,-2.13,113.00,297755,-24069,361.27
SZSE.300059,平多收益,2020-11-05,00:00:00,2020-11-09,00:00:00,24.98,26.92,1.94,120.00,299760,23280,426.41
SZSE.300059,平多收益,2020-11-11,00:00:00,2020-11-25,00:00:00,25.37,25.67,0.30,118.00,299366,3540,399.84
SZSE.300059,平多止损,2021-03-11,00:00:00,2021-03-25,00:00:00,28.60,27.23,-1.37,104.00,297440,-14248,373.81
SZSE.300059,平多收益,2021-04-01,00:00:00,2021-04-16,00:00:00,28.20,28.57,0.37,106.00,298920,3922,399.75
SZSE.300059,平多收益,2021-05-11,00:00:00,2021-05-14,00:00:00,30.66,34.40,3.74,97.00,297402,36278,440.46
SZSE.300059,平多收益,2021-05-24,00:00:00,2021-05-25,00:00:00,35.35,37.98,2.63,84.00,296940,22092,421.12
SZSE.300059,平多收益,2021-05-28,00:00:00,2021-06-11,00:00:00,31.31,31.37,0.06,95.00,297445,570,393.38
SZSE.300059,平多收益,2021-06-15,00:00:00,2021-06-25,00:00:00,30.85,32.70,1.85,97.00,299245,17945,418.69
SZSE.300059,平多收益,2022-04-20,00:00:00,2022-04-27,00:00:00,20.61,21.65,1.04,145.00,298845,15080,414.38
SZSE.300059,平多止损,2022-05-12,00:00:00,2022-05-26,00:00:00,22.48,22.45,-0.03,133.00,298984,-399,394.13
SZSE.300059,平多收益,2022-06-10,00:00:00,2022-06-24,00:00:00,24.24,25.15,0.91,123.00,298152,11193,408.34
SZSE.002812,平多收益,2019-07-11,00:00:00,2019-07-25,00:00:00,30.82,32.72,1.90,97.00,298954,18430,418.95
SZSE.002812,平多止损,2019-07-26,00:00:00,2019-08-09,00:00:00,33.29,30.97,-2.32,90.00,299610,-20880,367.92
SZSE.002812,平多收益,2019-08-16,00:00:00,2019-08-19,00:00:00,30.09,32.28,2.19,99.00,297891,21681,421.84
SZSE.002812,平多止损,2019-08-20,00:00:00,2019-09-03,00:00:00,32.77,30.45,-2.32,91.00,298207,-21112,365.77
SZSE.002812,平多收益,2019-09-04,00:00:00,2019-09-16,00:00:00,30.39,32.29,1.90,98.00,297822,18620,417.70
SZSE.002812,平多收益,2019-09-23,00:00:00,2019-10-08,00:00:00,31.83,33.67,1.84,94.00,299202,17296,417.78
SZSE.002812,平多止损,2019-10-10,00:00:00,2019-10-24,00:00:00,34.99,32.39,-2.60,85.00,297415,-22100,363.42
SZSE.002812,平多收益,2019-10-25,00:00:00,2019-10-30,00:00:00,32.21,33.90,1.69,93.00,299553,15717,416.16
SZSE.002812,平多收益,2019-10-31,00:00:00,2019-11-06,00:00:00,33.88,37.48,3.60,88.00,298144,31680,435.37
SZSE.002812,平多收益,2020-03-20,00:00:00,2020-04-03,00:00:00,47.74,48.46,0.72,62.00,295988,4464,396.60
SZSE.002812,平多收益,2020-09-25,00:00:00,2020-09-29,00:00:00,86.00,91.41,5.41,34.00,292400,18394,410.25
SZSE.002812,平多收益,2020-11-30,00:00:00,2020-12-03,00:00:00,96.52,103.13,6.61,31.00,299212,20491,422.01
SZSE.002812,平多止损,2021-02-02,00:00:00,2021-02-23,00:00:00,137.70,113.40,-24.30,21.00,289170,-51030,314.34
