code,mape,mdape,acc,pre_pos,pre_neg,rec_pos,rec_neg,F1_pos,F1_neg
LRSZSE.300498,0.4246,0.3093,51.18,49.33,53.06,51.75,50.65,50.51,51.83
LRSZSE.300122,2.9625,13.9553,49.16,46.2,52.52,52.52,46.2,49.16,49.16
LRSZSE.300059,0.5186,0.5769,49.83,46.41,55.17,61.76,39.75,53,46.21
LRSZSE.002812,5.3239,45.5747,43.1,37.02,57.3,66.96,28.02,47.68,37.64
LRSZSE.002594,6.8965,78.8525,52.86,49.13,58.06,62.04,45,54.84,50.7
LRSZSE.002475,0.8509,1.2015,46.8,40.25,54.35,50.39,44.12,44.76,48.7
LRSZSE.002352,1.1138,2.069,46.13,41.22,51.01,45.52,46.63,43.26,48.72
LRSZSE.002027,0.1388,0.0328,48.48,42.24,55.88,53.12,44.97,47.06,49.84
LRSZSE.000917,0.0917,0.0154,50.17,47.8,55.43,70.5,32.28,56.98,40.8
LRSZSE.000858,3.6049,20.529,49.83,46.91,53.33,54.68,45.57,50.5,49.15
LRSZSE.000776,0.3193,0.1905,59.6,56.25,61.62,47.01,69.94,51.22,65.52
LRSZSE.000725,0.0499,0.0047,50.51,41.1,61.94,56.78,46.37,47.69,53.04
LRSZSE.000568,4.799,37.3704,51.52,47.62,55.33,51.09,51.88,49.3,53.55
LRSZSE.000002,0.4503,0.309,46.8,45.88,61.11,94.81,6.79,61.84,12.22
LRSZSE.000001,0.2285,0.0954,49.49,43.36,55.19,47.33,51.2,45.26,53.12
LRSSE.603288,1.4726,3.9536,48.48,46.58,50.74,52.82,44.52,49.5,47.42
LRSSE.601985,0.1055,0.0229,53.87,48.91,56.1,33.33,70.99,39.65,62.67
LRSSE.601939,0.0442,0.0035,45.45,44.61,53.57,90.23,9.15,59.7,15.62
LRSSE.601919,0.4221,0.3308,50.51,46.6,57.55,66.42,37.42,54.77,45.35
LRSSE.601888,4.5304,33.6644,52.19,49.67,54.86,53.9,50.64,51.7,52.67
LRSSE.601398,0.0279,0.0015,45.79,43.82,56.52,84.62,15.57,57.74,24.41
LRSSE.601318,0.6939,0.8082,48.82,48.03,53.49,85.92,14.84,61.62,23.23
LRSSE.601166,0.2609,0.1303,49.49,45.65,52.83,45.65,52.83,45.65,52.83
LRSSE.601088,0.5465,0.5653,51.52,60.94,48.93,24.68,82.01,35.14,61.29
LRSSE.600900,0.2275,0.0959,53.2,49.17,55.93,43.07,61.88,45.91,58.75
LRSSE.600887,0.4662,0.3994,45.79,41.22,50.34,45.19,46.3,43.11,48.23
LRSSE.600585,0.5775,0.5999,48.15,43.48,53.68,52.63,44.51,47.62,48.67
LRSSE.600519,25.9594,1237.9665,51.52,45.39,57.05,48.85,53.61,47.06,55.28
LRSSE.600436,6.7146,84.6083,45.79,44.35,51.72,79.1,18.4,56.84,27.15
LRSSE.600276,0.7508,0.8902,45.79,44.66,54.29,87.97,11.59,59.24,19.1
LRSSE.600048,0.3596,0.2291,52.53,54.41,50.93,48.37,56.94,51.21,53.77
LRSSE.600036,0.6868,0.8664,52.86,48.72,57.45,55.88,50.31,52.05,53.64
LRSSE.600031,0.3609,0.226,44.44,41.42,48.44,51.47,38.51,45.9,42.91
LRSSE.600028,0.0403,0.0032,55.89,55.47,56.21,48.97,62.5,52.01,59.19
LRSSE.600000,0.0714,0.0085,43.1,42.81,47.37,92.25,5.36,58.48,9.63
,2.0598,44.756,49.45,46.48,54.55,58.79,42.21,50.51,44.91
