code,mape,mdape,acc,pre_pos,pre_neg,rec_pos,rec_neg,F1_pos,F1_neg
LSTMSZSE.300498,2.3653,16.8674,48.39,45.06,52.64,54.81,42.92,49.46,47.29
LSTMSZSE.300122,20.0992,851.5468,48.06,49.86,46.82,39.32,57.47,43.97,51.60
LSTMSZSE.300059,2.8124,15.4902,49.06,49.27,48.93,37.14,61.16,42.36,54.37
LSTMSZSE.002812,31.2915,1989.2236,43.74,39.88,45.98,29.93,56.93,34.20,50.87
LSTMSZSE.002594,33.8173,1975.3470,47.95,49.57,47.40,24.36,73.33,32.66,57.58
LSTMSZSE.002475,4.6810,52.4859,51.94,48.51,54.31,42.32,60.42,45.20,57.20
LSTMSZSE.002352,8.6215,165.9301,51.94,48.14,54.65,43.10,59.63,45.48,57.03
LSTMSZSE.002027,0.5295,0.7807,50.17,45.81,56.56,60.74,41.57,52.23,47.92
LSTMSZSE.000917,0.2790,0.2131,51.94,49.67,54.20,51.97,51.91,50.79,53.03
LSTMSZSE.000858,29.9370,1711.6305,48.62,51.34,47.27,32.42,66.36,39.74,55.21
LSTMSZSE.000776,0.8749,1.6326,51.38,49.22,53.52,51.16,51.59,50.17,52.54
LSTMSZSE.000725,0.3385,0.2216,48.50,42.49,54.04,46.00,50.50,44.18,52.21
LSTMSZSE.000568,26.6436,1630.2058,51.83,55.81,49.27,41.39,63.47,47.53,55.48
LSTMSZSE.000002,1.0499,2.3473,50.83,46.84,53.33,38.63,61.54,42.34,57.14
LSTMSZSE.000001,1.1321,2.3839,50.83,46.15,53.80,38.85,61.11,42.19,57.23
LSTMSSE.603288,13.1904,360.5403,48.06,48.42,47.83,36.90,59.55,41.88,53.05
LSTMSSE.601985,0.2305,0.0860,53.38,47.03,57.45,41.50,62.82,44.09,60.02
LSTMSSE.601939,0.1700,0.0556,51.16,46.81,55.00,47.83,53.99,47.31,54.49
LSTMSSE.601919,2.4292,14.4419,49.39,47.76,51.15,51.38,47.54,49.50,49.28
LSTMSSE.601888,29.7730,2024.0410,50.17,51.75,48.91,44.61,56.04,47.92,52.23
LSTMSSE.601398,0.1071,0.0214,51.61,45.18,56.58,44.61,57.14,44.89,56.86
LSTMSSE.601318,3.6280,41.8698,47.40,43.17,51.67,47.46,47.35,45.21,49.41
LSTMSSE.601166,0.9353,1.6111,50.94,48.12,53.46,48.01,53.57,48.07,53.52
LSTMSSE.601088,1.9925,7.3271,48.73,49.68,48.22,33.84,64.25,40.26,55.09
LSTMSSE.600900,0.7241,0.8056,50.28,47.27,51.59,29.95,69.08,36.67,59.07
LSTMSSE.600887,1.7711,7.1890,52.27,54.52,51.03,38.04,67.04,44.81,57.95
LSTMSSE.600585,3.2086,23.3652,47.51,43.50,51.42,46.63,48.25,45.01,49.79
LSTMSSE.600519,157.4659,43497.6369,48.95,48.51,49.17,32.52,65.41,38.94,56.14
LSTMSSE.600436,41.6953,3495.3265,48.28,49.59,47.79,26.24,71.69,34.32,57.35
LSTMSSE.600276,3.6248,27.9176,51.61,51.15,52.03,49.89,53.29,50.51,52.65
LSTMSSE.600048,0.6683,0.7831,53.60,51.24,55.49,48.02,58.65,49.58,57.03
LSTMSSE.600036,2.2388,9.0398,51.94,48.73,54.01,40.71,61.92,44.36,57.70
LSTMSSE.600031,3.1622,24.2234,50.50,51.15,50.09,39.12,62.05,44.33,55.43
LSTMSSE.600028,0.2021,0.0900,50.50,46.29,57.57,64.69,38.96,53.96,46.47
LSTMSSE.600000,0.3507,0.3244,49.61,46.79,54.23,62.53,38.43,53.52,44.98
