股票代码,盈亏,开仓日期,开仓时间,平仓日期,平仓时间,开仓价格,平仓价格,价差,数量,资金占用,收益（含手续费）,手续费
SZSE.300498,平多收益,2019-10-16,00:00:00,2019-10-24,00:00:00,37.05,39.70,2.65,80.00,296400,21200,419.23
SZSE.300498,平多止损,2019-11-14,00:00:00,2019-11-28,00:00:00,37.70,35.84,-1.86,79.00,297830,-14694,373.74
SZSE.300498,平多止损,2019-11-29,00:00:00,2019-12-16,00:00:00,35.80,33.25,-2.55,83.00,297140,-21165,364.29
SZSE.300498,平多收益,2019-12-23,00:00:00,2020-01-06,00:00:00,33.23,35.83,2.60,90.00,299070,23400,425.66
SZSE.300498,平多止损,2020-01-22,00:00:00,2020-02-13,00:00:00,34.42,32.11,-2.31,87.00,299454,-20097,368.75
SZSE.300498,平多收益,2020-02-28,00:00:00,2020-03-04,00:00:00,32.53,34.73,2.20,92.00,299276,20240,421.76
SZSE.300498,平多止损,2020-03-12,00:00:00,2020-03-26,00:00:00,32.82,30.66,-2.16,91.00,298662,-19656,368.29
SZSE.300498,平多收益,2020-03-27,00:00:00,2020-03-31,00:00:00,30.03,32.30,2.27,99.00,297297,22473,422.10
SZSE.300498,平多止损,2020-04-16,00:00:00,2020-05-06,00:00:00,30.50,30.27,-0.23,98.00,298900,-2254,391.57
SZSE.300498,平多止损,2020-05-14,00:00:00,2020-05-28,00:00:00,28.40,26.14,-2.26,105.00,298200,-23730,362.30
SZSE.300498,平多止损,2020-05-29,00:00:00,2020-06-12,00:00:00,26.43,20.46,-5.97,113.00,298659,-67461,305.18
SZSE.300498,平多收益,2020-06-15,00:00:00,2020-07-01,00:00:00,21.02,22.31,1.29,142.00,298484,18318,418.18
SZSE.300498,平多收益,2020-07-02,00:00:00,2020-07-06,00:00:00,22.42,23.79,1.37,133.00,298186,18221,417.66
SZSE.300498,平多收益,2020-08-06,00:00:00,2020-08-20,00:00:00,23.34,23.88,0.54,128.00,298752,6912,403.48
SZSE.300498,平多止损,2020-09-07,00:00:00,2020-09-21,00:00:00,22.86,21.03,-1.83,131.00,299466,-23973,363.65
SZSE.300498,平多止损,2020-09-22,00:00:00,2020-10-14,00:00:00,20.66,20.09,-0.57,145.00,299570,-8265,384.52
SZSE.300498,平多止损,2020-10-15,00:00:00,2020-10-29,00:00:00,19.85,19.47,-0.38,151.00,299735,-5738,388.08
SZSE.300498,平多收益,2020-10-30,00:00:00,2020-11-16,00:00:00,18.95,19.22,0.27,158.00,299410,4266,400.85
SZSE.300498,平多收益,2020-11-25,00:00:00,2020-12-09,00:00:00,19.13,19.39,0.26,156.00,298428,4056,399.28
SZSE.300498,平多止损,2020-12-10,00:00:00,2020-12-24,00:00:00,19.12,18.64,-0.48,156.00,298272,-7488,383.83
SZSE.300498,平多收益,2020-12-25,00:00:00,2021-01-04,00:00:00,18.33,19.40,1.07,163.00,298779,17441,417.41
SZSE.300498,平多止损,2021-01-08,00:00:00,2021-01-25,00:00:00,19.12,17.97,-1.15,156.00,298272,-17940,370.04
SZSE.300498,平多收益,2021-01-28,00:00:00,2021-02-18,00:00:00,17.47,17.55,0.08,171.00,298737,1368,396.14
SZSE.300498,平多止损,2021-03-10,00:00:00,2021-03-25,00:00:00,17.33,17.29,-0.04,173.00,299809,-692,394.83
SZSE.300498,平多止损,2021-04-06,00:00:00,2021-04-20,00:00:00,16.73,15.74,-0.99,179.00,299467,-17721,371.90
SZSE.300498,平多止损,2021-04-21,00:00:00,2021-05-10,00:00:00,15.60,13.70,-1.90,192.00,299520,-36480,347.21
SZSE.300498,平多收益,2021-05-11,00:00:00,2021-05-25,00:00:00,13.79,14.01,0.22,217.00,299243,4774,401.30
SZSE.300498,平多收益,2021-05-26,00:00:00,2021-06-08,00:00:00,14.06,14.86,0.80,213.00,299478,17040,417.80
SZSE.300498,平多收益,2021-06-11,00:00:00,2021-06-28,00:00:00,14.27,14.85,0.58,210.00,299670,12180,411.64
SZSE.300498,平多止损,2021-07-01,00:00:00,2021-07-15,00:00:00,14.14,13.55,-0.59,212.00,299768,-12508,379.18
SZSE.300498,平多止损,2021-07-16,00:00:00,2021-07-30,00:00:00,13.52,12.58,-0.94,221.00,298792,-20774,366.98
SZSE.300498,平多止损,2022-04-29,00:00:00,2022-05-18,00:00:00,18.66,18.08,-0.58,160.00,298560,-9280,381.85
SZSE.300498,平多收益,2022-09-26,00:00:00,2022-10-10,00:00:00,19.89,21.84,1.95,150.00,298350,29250,432.43
SZSE.300498,平多止损,2022-10-24,00:00:00,2022-11-07,00:00:00,19.86,18.98,-0.88,151.00,299886,-13288,378.31
SZSE.300498,平多收益,2022-11-21,00:00:00,2022-12-02,00:00:00,17.29,18.51,1.22,173.00,299117,21106,422.69
SZSE.300122,平多收益,2019-03-28,00:00:00,2019-03-29,00:00:00,48.57,51.10,2.53,61.00,296277,15433,411.46
SZSE.300122,平多止损,2019-04-01,00:00:00,2019-04-16,00:00:00,51.61,45.43,-6.18,58.00,299338,-35844,347.81
SZSE.300122,平多止损,2019-04-17,00:00:00,2019-05-06,00:00:00,44.96,40.18,-4.78,66.00,296736,-31548,350.05
SZSE.300122,平多收益,2019-05-07,00:00:00,2019-05-16,00:00:00,40.56,45.35,4.79,73.00,296088,34967,436.99
SZSE.300122,平多止损,2019-05-17,00:00:00,2019-05-31,00:00:00,43.05,40.31,-2.74,69.00,297045,-18906,367.14
SZSE.300122,平多收益,2019-06-04,00:00:00,2019-06-19,00:00:00,39.98,40.10,0.12,75.00,299850,900,396.99
SZSE.300122,平多收益,2019-06-20,00:00:00,2019-06-28,00:00:00,41.01,43.10,2.09,73.00,299373,15257,415.31
SZSE.300122,平多收益,2019-07-01,00:00:00,2019-07-15,00:00:00,44.45,44.83,0.38,67.00,297815,2546,396.48
SZSE.300122,平多收益,2019-07-16,00:00:00,2019-07-30,00:00:00,45.26,47.09,1.83,66.00,298716,12078,410.25
SZSE.300122,平多收益,2019-07-31,00:00:00,2019-08-15,00:00:00,46.95,48.34,1.39,63.00,295785,8757,402.00
SZSE.300122,平多收益,2021-10-13,00:00:00,2021-10-22,00:00:00,140.86,150.73,9.87,21.00,295806,20727,417.82
SZSE.300122,平多止损,2021-11-01,00:00:00,2021-11-15,00:00:00,138.80,134.58,-4.22,21.00,291480,-8862,373.06
SZSE.300122,平多止损,2021-11-22,00:00:00,2021-12-06,00:00:00,130.05,120.29,-9.76,23.00,299115,-22448,365.20
SZSE.300122,平多收益,2021-12-07,00:00:00,2021-12-09,00:00:00,122.65,130.04,7.39,24.00,294360,17736,411.97
SZSE.300122,平多止损,2021-12-23,00:00:00,2022-01-07,00:00:00,124.86,114.23,-10.63,24.00,299664,-25512,361.88
SZSE.300122,平多止损,2022-01-10,00:00:00,2022-01-24,00:00:00,117.33,105.55,-11.78,25.00,293325,-29450,348.31
SZSE.300122,平多收益,2022-01-28,00:00:00,2022-02-08,00:00:00,105.62,114.50,8.88,28.00,295736,24864,423.19
SZSE.300122,平多收益,2022-02-24,00:00:00,2022-02-25,00:00:00,117.04,126.11,9.07,25.00,292600,22675,416.16
SZSE.300122,平多收益,2022-03-07,00:00:00,2022-03-16,00:00:00,121.93,131.05,9.12,24.00,292632,21888,415.17
SZSE.300122,平多收益,2022-04-07,00:00:00,2022-04-11,00:00:00,132.12,139.42,7.30,22.00,290664,16060,404.88
SZSE.300122,平多止损,2022-04-14,00:00:00,2022-04-29,00:00:00,116.00,94.50,-21.50,25.00,290000,-53750,311.85
SZSE.300122,平多止损,2022-05-16,00:00:00,2022-05-30,00:00:00,96.68,85.50,-11.18,31.00,299708,-34658,349.87
SZSE.300122,平多收益,2022-06-02,00:00:00,2022-06-08,00:00:00,84.60,90.50,5.90,35.00,296100,20650,418.11
SZSE.300122,平多止损,2022-07-12,00:00:00,2022-07-26,00:00:00,108.48,107.41,-1.07,27.00,292896,-2889,382.81
SZSE.300122,平多止损,2022-07-28,00:00:00,2022-08-11,00:00:00,101.95,99.02,-2.93,29.00,295655,-8497,379.05
SZSE.300122,平多收益,2022-08-18,00:00:00,2022-09-02,00:00:00,92.80,97.05,4.25,32.00,296960,13600,409.94
SZSE.300122,平多止损,2022-09-06,00:00:00,2022-09-21,00:00:00,91.26,81.75,-9.51,32.00,292032,-30432,345.31
SZSE.300122,平多收益,2022-09-22,00:00:00,2022-09-27,00:00:00,81.82,87.89,6.07,36.00,294552,21852,417.65
SZSE.300122,平多收益,2022-10-10,00:00:00,2022-10-14,00:00:00,81.60,94.17,12.57,36.00,293760,45252,447.50
SZSE.300122,平多收益,2022-10-25,00:00:00,2022-10-26,00:00:00,89.45,96.60,7.15,33.00,295185,23595,420.79
SZSE.300122,平多收益,2022-10-27,00:00:00,2022-11-01,00:00:00,86.48,94.20,7.72,34.00,294032,26248,422.77
SZSE.300122,平多止损,2022-11-23,00:00:00,2022-12-07,00:00:00,90.46,85.25,-5.21,33.00,298518,-17193,371.35
SZSE.300122,平多收益,2022-12-19,00:00:00,2022-12-23,00:00:00,81.19,85.41,4.22,36.00,292284,15192,405.87
SZSE.300059,平多收益,2019-03-28,00:00:00,2019-03-29,00:00:00,18.01,19.38,1.37,166.00,298966,22742,424.65
SZSE.300059,平多止损,2019-04-15,00:00:00,2019-04-29,00:00:00,18.54,16.63,-1.91,161.00,298494,-30751,353.42
SZSE.300059,平多止损,2019-04-30,00:00:00,2019-05-17,00:00:00,16.39,14.83,-1.56,183.00,299937,-28548,358.23
SZSE.300059,平多止损,2019-05-20,00:00:00,2019-06-04,00:00:00,15.13,12.55,-2.58,198.00,299574,-51084,328.01
SZSE.300059,平多收益,2019-06-05,00:00:00,2019-06-20,00:00:00,12.59,13.63,1.04,238.00,299642,24752,428.20
SZSE.300059,平多止损,2019-06-21,00:00:00,2019-07-05,00:00:00,14.05,13.65,-0.40,213.00,299265,-8520,383.78
SZSE.300059,平多收益,2019-07-08,00:00:00,2019-07-15,00:00:00,13.00,13.88,0.88,230.00,299000,20240,421.40
SZSE.300059,平多收益,2019-07-16,00:00:00,2019-07-19,00:00:00,13.99,14.79,0.80,214.00,299386,17120,417.79
SZSE.300059,平多止损,2019-07-22,00:00:00,2019-08-06,00:00:00,14.19,13.39,-0.80,211.00,299409,-16880,372.94
SZSE.300059,平多收益,2019-08-07,00:00:00,2019-08-16,00:00:00,13.08,13.82,0.74,229.00,299532,16946,417.75
SZSE.300059,平多收益,2019-10-18,00:00:00,2019-10-28,00:00:00,14.82,15.87,1.05,202.00,299364,21210,423.16
SZSE.300059,平多止损,2019-11-11,00:00:00,2019-11-25,00:00:00,14.60,13.94,-0.66,205.00,299300,-13530,377.22
SZSE.300059,平多收益,2019-11-26,00:00:00,2019-12-10,00:00:00,13.89,14.30,0.41,215.00,298635,8815,405.83
SZSE.300059,平多收益,2019-12-11,00:00:00,2019-12-16,00:00:00,14.25,15.40,1.15,210.00,299250,24150,426.89
SZSE.300059,平多收益,2020-02-03,00:00:00,2020-02-06,00:00:00,13.57,14.62,1.05,221.00,299897,23205,426.49
SZSE.300059,平多收益,2020-05-21,00:00:00,2020-06-01,00:00:00,14.68,15.44,0.76,204.00,299472,15504,415.77
SZSE.300059,平多止损,2022-02-14,00:00:00,2022-03-01,00:00:00,27.49,27.44,-0.05,109.00,299641,-545,394.81
SZSE.300059,平多止损,2022-03-04,00:00:00,2022-03-18,00:00:00,26.00,25.99,-0.01,115.00,299000,-115,394.53
SZSE.300059,平多收益,2022-04-11,00:00:00,2022-04-12,00:00:00,24.71,26.20,1.49,121.00,298991,18029,418.47
SZSE.300059,平多收益,2022-04-20,00:00:00,2022-04-27,00:00:00,20.61,21.65,1.04,145.00,298845,15080,414.38
SZSE.300059,平多收益,2022-04-28,00:00:00,2022-04-29,00:00:00,21.05,22.78,1.73,142.00,298910,24566,426.99
SZSE.300059,平多止损,2022-07-08,00:00:00,2022-07-22,00:00:00,23.63,23.10,-0.53,126.00,297738,-6678,384.20
SZSE.300059,平多收益,2022-08-02,00:00:00,2022-08-11,00:00:00,21.24,22.99,1.75,141.00,299484,24675,427.89
SZSE.300059,平多止损,2022-09-16,00:00:00,2022-09-30,00:00:00,19.94,17.62,-2.32,150.00,299100,-34800,348.88
SZSE.300059,平多收益,2022-10-10,00:00:00,2022-10-17,00:00:00,17.30,18.29,0.99,173.00,299290,17127,417.67
SZSE.300059,平多收益,2022-10-24,00:00:00,2022-11-07,00:00:00,17.09,17.26,0.17,175.00,299075,2975,398.71
SZSE.300059,平多收益,2022-12-19,00:00:00,2023-01-03,00:00:00,18.95,19.27,0.32,158.00,299410,5056,401.90
SZSE.002812,平多止损,2019-03-28,00:00:00,2019-04-12,00:00:00,61.09,56.41,-4.68,49.00,299341,-22932,364.86
SZSE.002812,平多收益,2019-04-15,00:00:00,2019-04-17,00:00:00,55.51,58.59,3.08,54.00,299754,16632,417.63
SZSE.002812,平多止损,2019-04-18,00:00:00,2019-05-07,00:00:00,58.49,51.01,-7.48,51.00,298299,-38148,343.40
SZSE.002812,平多收益,2019-05-08,00:00:00,2019-05-10,00:00:00,50.08,53.00,2.92,59.00,295472,17228,412.76
SZSE.002812,平多收益,2019-05-13,00:00:00,2019-05-20,00:00:00,52.14,55.07,2.93,57.00,297198,16701,414.35
SZSE.002812,平多止损,2019-05-21,00:00:00,2019-06-05,00:00:00,54.33,52.35,-1.98,55.00,298815,-10890,380.06
SZSE.002812,平多止损,2019-06-06,00:00:00,2019-06-21,00:00:00,52.94,47.47,-5.47,56.00,296464,-30632,350.90
SZSE.002812,平多收益,2019-06-24,00:00:00,2019-07-02,00:00:00,47.57,50.57,3.00,63.00,299691,18900,420.54
SZSE.002812,平多止损,2019-07-03,00:00:00,2019-07-17,00:00:00,50.50,31.25,-19.25,59.00,297950,-113575,243.37
SZSE.002812,平多收益,2019-07-18,00:00:00,2019-07-25,00:00:00,30.87,32.72,1.85,97.00,299439,17945,418.95
SZSE.002812,平多止损,2019-07-26,00:00:00,2019-08-12,00:00:00,33.29,31.51,-1.78,90.00,299610,-16020,374.34
SZSE.002812,平多收益,2019-08-13,00:00:00,2019-08-19,00:00:00,30.31,32.28,1.97,98.00,297038,19306,417.57
SZSE.002812,平多止损,2019-08-20,00:00:00,2019-09-03,00:00:00,32.77,30.45,-2.32,91.00,298207,-21112,365.77
SZSE.002812,平多收益,2019-09-04,00:00:00,2019-09-16,00:00:00,30.39,32.29,1.90,98.00,297822,18620,417.70
SZSE.002812,平多收益,2019-09-17,00:00:00,2019-09-30,00:00:00,31.57,33.35,1.78,95.00,299915,16910,418.21
SZSE.002812,平多止损,2019-10-08,00:00:00,2019-10-23,00:00:00,33.67,31.60,-2.07,89.00,299663,-18423,371.24
SZSE.002812,平多收益,2019-10-24,00:00:00,2019-11-05,00:00:00,32.39,35.20,2.81,92.00,297988,25852,427.47
SZSE.002812,平多收益,2019-11-06,00:00:00,2019-11-20,00:00:00,37.48,39.01,1.53,80.00,299840,12240,411.95
SZSE.002812,平多收益,2019-11-21,00:00:00,2019-11-28,00:00:00,39.50,41.70,2.20,75.00,296250,16500,412.83
