code,mape,mdape,acc,pre_pos,pre_neg,rec_pos,rec_neg,F1_pos,F1_neg
LSTMSZSE.300498,0.7812,1.0306,48.65,46.56,50.3,42.66,54.25,44.53,52.2
LSTMSZSE.300122,11.8469,187.4734,44.59,45.26,36.36,89.86,5.06,60.19,8.89
LSTMSZSE.300059,1.1453,2.4041,48.99,46.58,55.84,75,26.88,57.46,36.29
LSTMSZSE.002812,29.9112,1357.0303,56.42,34.69,60.73,14.91,82.42,20.86,69.93
LSTMSZSE.002594,30.8396,1343.2622,54.39,46.67,54.14,2.92,98.74,5.59,69.93
LSTMSZSE.002475,1.6979,4.6521,48.65,41.45,56.25,50,47.65,45.32,51.59
LSTMSZSE.002352,3.5706,17.4122,47.3,46.1,71.43,97.01,6.17,62.5,11.36
LSTMSZSE.002027,0.4675,0.2873,45.61,44.17,76.92,97.66,5.95,60.83,11.05
LSTMSZSE.000917,0.1528,0.0451,55.41,52.8,57.31,47.48,62.42,50,59.76
LSTMSZSE.000858,6.7143,76.5519,51.69,48.11,53.68,36.69,64.97,41.63,58.79
LSTMSZSE.000776,1.5533,4.6729,57.77,68,56.83,12.69,95.06,21.38,71.13
LSTMSZSE.000725,0.1445,0.0305,40.54,39.11,56,90.6,7.82,54.64,13.73
LSTMSZSE.000568,22.4712,590.7998,53.72,50,53.82,2.92,97.48,5.52,69.35
LSTMSZSE.000002,1.0373,1.8205,53.38,45,54.69,13.43,86.42,20.69,66.99
LSTMSZSE.000001,0.4064,0.2661,53.04,46,56.63,35.11,67.27,39.83,61.5
LSTMSSE.603288,5.2064,38.3148,50.68,49.17,57.14,83.1,20.78,61.78,30.48
LSTMSSE.601985,0.9872,1.2533,54.39,0,54.39,0,100,0,70.46
LSTMSSE.601939,0.2295,0.0768,48.65,46.18,61.7,86.47,17.79,60.21,27.62
LSTMSSE.601919,0.8369,1.039,50.68,46.92,60,74.44,31.29,57.56,41.13
LSTMSSE.601888,8.5374,108.1322,49.32,47.83,52.81,70.21,30.32,56.9,38.52
LSTMSSE.601398,0.3009,0.1341,50.34,44.65,56.93,54.62,46.99,49.13,51.49
LSTMSSE.601318,3.5051,16.2608,49.32,48.6,70,97.89,4.55,64.95,8.54
LSTMSSE.601166,0.5583,0.4636,53.72,50.24,62.07,76.09,34.18,60.52,44.08
LSTMSSE.601088,7.5131,61.262,46.96,0,46.96,0,100,0,63.91
LSTMSSE.600900,2.0024,4.6681,53.72,0,53.72,0,100,0,69.89
LSTMSSE.600887,1.7536,4.4076,53.72,46.15,54.44,8.89,91.3,14.91,68.21
LSTMSSE.600585,1.4791,3.1251,47.97,45.41,56.72,78.2,23.31,57.46,33.04
LSTMSSE.600519,45.7077,4217.5567,50.68,45.61,57.6,59.54,43.64,51.66,49.66
LSTMSSE.600436,14.8855,341.9008,44.26,43.51,47.37,77.61,16.67,55.76,24.66
LSTMSSE.600276,3.2308,13.1661,46.62,45.61,72.73,97.74,4.91,62.2,9.2
LSTMSSE.600048,0.561,0.5243,57.09,60.66,54.6,48.37,66.43,53.82,59.94
LSTMSSE.600036,1.3895,3.5492,51.35,47.75,56.78,62.5,41.88,54.14,48.2
LSTMSSE.600031,2.1612,5.2716,45.95,45.92,50,99.26,0.62,62.79,1.23
LSTMSSE.600028,0.1316,0.0257,51.69,53.85,51.48,9.66,92.05,16.37,66.03
LSTMSSE.600000,1.4928,2.3384,43.58,43.58,0,100,0,60.71,0
