股票代码,盈亏,开仓日期,开仓时间,平仓日期,平仓时间,开仓价格,平仓价格,价差,数量,资金占用,收益（含手续费）,手续费
SZSE.300498,平多收益,2019-05-08,00:00:00,2019-05-10,00:00:00,34.64,36.88,2.24,86.00,297904,19264,418.66
SZSE.300498,平多收益,2019-05-13,00:00:00,2019-05-27,00:00:00,35.80,35.85,0.05,83.00,297140,415,392.77
SZSE.300498,平多止损,2019-12-10,00:00:00,2019-12-24,00:00:00,33.51,32.79,-0.72,89.00,298239,-6408,385.22
SZSE.300498,平多收益,2019-12-25,00:00:00,2020-01-02,00:00:00,32.65,34.31,1.66,91.00,297115,15106,412.13
SZSE.300498,平多止损,2020-01-17,00:00:00,2020-02-10,00:00:00,35.40,32.25,-3.15,84.00,297360,-26460,357.59
SZSE.300498,平多收益,2020-02-13,00:00:00,2020-02-17,00:00:00,32.11,34.33,2.22,93.00,298623,20646,421.44
SZSE.300498,平多收益,2020-03-23,00:00:00,2020-03-31,00:00:00,30.54,32.30,1.76,98.00,299292,17248,417.83
SZSE.300498,平多止损,2020-05-14,00:00:00,2020-05-28,00:00:00,28.40,26.14,-2.26,105.00,298200,-23730,362.30
SZSE.300498,平多止损,2020-05-29,00:00:00,2020-06-12,00:00:00,26.43,20.46,-5.97,113.00,298659,-67461,305.18
SZSE.300498,平多收益,2020-06-15,00:00:00,2020-07-01,00:00:00,21.02,22.31,1.29,142.00,298484,18318,418.18
SZSE.300498,平多收益,2020-07-02,00:00:00,2020-07-06,00:00:00,22.42,23.79,1.37,133.00,298186,18221,417.66
SZSE.300498,平多止损,2020-09-08,00:00:00,2020-09-22,00:00:00,22.33,20.66,-1.67,134.00,299222,-22378,365.43
SZSE.300498,平多止损,2020-09-23,00:00:00,2020-10-15,00:00:00,20.76,19.85,-0.91,144.00,298944,-13104,377.31
SZSE.300498,平多止损,2020-10-16,00:00:00,2020-10-30,00:00:00,19.92,18.95,-0.97,150.00,298800,-14550,375.21
SZSE.300498,平多收益,2020-11-02,00:00:00,2020-11-16,00:00:00,18.72,19.22,0.50,160.00,299520,8000,405.93
SZSE.300498,平多收益,2021-01-28,00:00:00,2021-02-18,00:00:00,17.47,17.55,0.08,171.00,298737,1368,396.14
SZSE.300498,平多止损,2021-03-10,00:00:00,2021-03-24,00:00:00,17.33,17.13,-0.20,173.00,299809,-3460,391.18
SZSE.300498,平多止损,2021-04-08,00:00:00,2021-04-22,00:00:00,16.44,15.16,-1.28,182.00,299208,-23296,364.20
SZSE.300498,平多止损,2021-04-23,00:00:00,2021-05-12,00:00:00,15.06,13.98,-1.08,199.00,299694,-21492,367.23
SZSE.300498,平多收益,2021-05-13,00:00:00,2021-05-27,00:00:00,13.78,14.27,0.49,217.00,299026,10633,408.75
SZSE.300498,平多收益,2021-05-28,00:00:00,2021-06-08,00:00:00,14.07,14.86,0.79,213.00,299691,16827,417.80
SZSE.300498,平多收益,2021-07-19,00:00:00,2021-08-02,00:00:00,12.80,13.29,0.49,234.00,299520,11466,410.50
SZSE.300498,平多收益,2022-03-14,00:00:00,2022-03-18,00:00:00,19.61,20.84,1.23,152.00,298072,18696,418.13
SZSE.300498,平多止损,2022-04-29,00:00:00,2022-05-18,00:00:00,18.66,18.08,-0.58,160.00,298560,-9280,381.85
SZSE.300498,平多收益,2022-05-19,00:00:00,2022-06-02,00:00:00,17.61,17.74,0.13,170.00,299370,2210,398.09
SZSE.300498,平多收益,2022-06-06,00:00:00,2022-06-08,00:00:00,17.31,18.26,0.95,173.00,299463,16435,416.99
SZSE.300498,平多收益,2022-06-10,00:00:00,2022-06-14,00:00:00,18.45,19.80,1.35,162.00,298890,21870,423.40
SZSE.300498,平多止损,2022-09-16,00:00:00,2022-09-30,00:00:00,21.60,20.51,-1.09,138.00,298080,-15042,373.61
SZSE.300498,平多止损,2022-10-11,00:00:00,2022-10-25,00:00:00,21.90,19.71,-2.19,136.00,297840,-29784,353.83
SZSE.300122,平多收益,2020-03-16,00:00:00,2020-03-24,00:00:00,57.82,63.55,5.73,51.00,294882,29223,427.82
SZSE.300122,平多收益,2020-09-09,00:00:00,2020-09-11,00:00:00,117.36,125.07,7.71,25.00,293400,19275,412.73
SZSE.300122,平多收益,2020-09-14,00:00:00,2020-09-23,00:00:00,124.81,142.02,17.21,24.00,299544,41304,449.92
SZSE.300122,平多收益,2020-11-17,00:00:00,2020-11-23,00:00:00,119.65,126.07,6.42,25.00,299125,16050,416.03
SZSE.300122,平多收益,2020-11-24,00:00:00,2020-12-03,00:00:00,123.46,134.01,10.55,24.00,296304,25320,424.54
SZSE.300122,平多收益,2021-06-16,00:00:00,2021-06-30,00:00:00,180.00,186.73,6.73,16.00,288000,10768,394.37
SZSE.300122,平多收益,2021-07-05,00:00:00,2021-07-14,00:00:00,178.40,187.81,9.41,16.00,285440,15056,396.65
SZSE.300122,平多止损,2021-07-22,00:00:00,2021-08-05,00:00:00,181.89,177.23,-4.66,16.00,291024,-7456,374.31
SZSE.300122,平多止损,2021-09-02,00:00:00,2021-09-16,00:00:00,169.19,149.22,-19.97,17.00,287623,-33949,334.85
SZSE.300122,平多收益,2021-10-14,00:00:00,2021-10-28,00:00:00,146.47,147.08,0.61,20.00,292940,1220,388.29
SZSE.300122,平多收益,2021-11-02,00:00:00,2021-11-16,00:00:00,130.89,137.00,6.11,22.00,287958,13442,397.85
SZSE.300122,平多止损,2021-11-19,00:00:00,2021-12-03,00:00:00,131.35,122.24,-9.11,22.00,288970,-20042,354.98
SZSE.300122,平多收益,2021-12-06,00:00:00,2021-12-09,00:00:00,120.29,130.04,9.75,24.00,288696,23400,411.97
SZSE.300122,平多止损,2022-01-06,00:00:00,2022-01-20,00:00:00,116.30,107.00,-9.30,25.00,290750,-23250,353.10
SZSE.300122,平多收益,2022-01-21,00:00:00,2022-02-07,00:00:00,103.92,110.47,6.55,28.00,290976,18340,408.30
SZSE.300122,平多收益,2022-02-08,00:00:00,2022-02-10,00:00:00,114.50,124.68,10.18,26.00,297700,26468,427.90
SZSE.300122,平多止损,2022-04-21,00:00:00,2022-05-10,00:00:00,104.50,97.46,-7.04,28.00,292600,-19712,360.21
SZSE.300122,平多止损,2022-05-13,00:00:00,2022-05-27,00:00:00,98.75,84.70,-14.05,30.00,296250,-42150,335.41
SZSE.300122,平多收益,2022-05-30,00:00:00,2022-06-08,00:00:00,85.50,90.50,5.00,35.00,299250,17500,418.11
SZSE.300122,平多收益,2022-06-09,00:00:00,2022-06-15,00:00:00,88.05,93.20,5.15,34.00,299370,17510,418.28
SZSE.300122,平多收益,2022-06-16,00:00:00,2022-06-20,00:00:00,94.22,103.69,9.47,31.00,292082,29357,424.30
SZSE.300122,平多收益,2022-06-21,00:00:00,2022-06-27,00:00:00,101.04,108.95,7.91,29.00,293016,22939,417.06
SZSE.300122,平多止损,2022-08-02,00:00:00,2022-08-16,00:00:00,95.66,95.49,-0.17,31.00,296546,-527,390.75
SZSE.300122,平多收益,2022-08-18,00:00:00,2022-09-01,00:00:00,92.80,98.75,5.95,32.00,296960,19040,417.12
SZSE.300122,平多止损,2022-09-14,00:00:00,2022-09-28,00:00:00,89.00,84.42,-4.58,33.00,293700,-15114,367.73
SZSE.300122,平多收益,2022-09-30,00:00:00,2022-10-14,00:00:00,86.43,94.17,7.74,34.00,293862,26316,422.63
SZSE.300122,平多收益,2022-10-19,00:00:00,2022-11-02,00:00:00,94.24,95.27,1.03,31.00,292144,3193,389.84
SZSE.300122,平多收益,2022-11-03,00:00:00,2022-11-08,00:00:00,92.68,97.90,5.22,32.00,296576,16704,413.53
SZSE.300122,平多止损,2022-12-07,00:00:00,2022-12-21,00:00:00,85.25,82.94,-2.31,35.00,298375,-8085,383.18
SZSE.300059,平多止损,2019-04-29,00:00:00,2019-05-16,00:00:00,16.63,15.57,-1.06,180.00,299340,-19080,369.94
SZSE.300059,平多止损,2019-05-21,00:00:00,2019-06-04,00:00:00,15.40,12.55,-2.85,194.00,298760,-55290,321.38
SZSE.300059,平多止损,2019-07-26,00:00:00,2019-08-09,00:00:00,14.37,13.09,-1.28,208.00,298896,-26624,359.40
SZSE.300059,平多收益,2019-11-21,00:00:00,2019-12-05,00:00:00,14.14,14.30,0.16,212.00,299768,3392,400.17
SZSE.300059,平多收益,2020-02-20,00:00:00,2020-02-21,00:00:00,17.34,18.50,1.16,173.00,299982,20068,422.47
SZSE.300059,平多止损,2020-04-10,00:00:00,2020-04-24,00:00:00,17.13,16.82,-0.31,175.00,299775,-5425,388.54
SZSE.300059,平多收益,2020-06-11,00:00:00,2020-06-18,00:00:00,15.81,16.95,1.14,189.00,298809,21546,422.87
SZSE.300059,平多止损,2020-09-07,00:00:00,2020-09-21,00:00:00,24.60,24.45,-0.15,121.00,297660,-1815,390.52
SZSE.300059,平多收益,2020-09-22,00:00:00,2020-10-12,00:00:00,24.31,26.09,1.78,123.00,299013,21894,423.60
