datetime,datetime_nano,SSE.601919.open,SSE.601919.high,SSE.601919.low,SSE.601919.close,SSE.601919.volume,SSE.601919.open_oi,SSE.601919.close_oi
2018-01-02 00:00:00.000000000,1514822400000000000,6.83,6.93,6.77,6.9,49180700,0,0
2018-01-03 00:00:00.000000000,1514908800000000000,7.0,7.22,6.96,7.03,92033800,0,0
2018-01-04 00:00:00.000000000,1514995200000000000,6.99,7.2,6.95,7.11,59743000,0,0
2018-01-05 00:00:00.000000000,1515081600000000000,7.12,7.27,7.01,7.22,72258800,0,0
2018-01-08 00:00:00.000000000,1515340800000000000,7.23,7.37,7.13,7.25,69018400,0,0
2018-01-09 00:00:00.000000000,1515427200000000000,7.23,7.23,7.01,7.1,70077900,0,0
2018-01-10 00:00:00.000000000,1515513600000000000,7.11,7.13,6.99,7.12,55710700,0,0
2018-01-11 00:00:00.000000000,1515600000000000000,7.07,7.14,7.02,7.04,35111200,0,0
2018-01-12 00:00:00.000000000,1515686400000000000,7.04,7.11,6.95,6.97,37260900,0,0
2018-01-15 00:00:00.000000000,1515945600000000000,6.93,6.97,6.61,6.63,63540500,0,0
2018-01-16 00:00:00.000000000,1516032000000000000,6.6,6.71,6.56,6.68,37202300,0,0
2018-01-17 00:00:00.000000000,1516118400000000000,6.65,6.78,6.58,6.69,38210500,0,0
2018-01-18 00:00:00.000000000,1516204800000000000,6.66,6.79,6.59,6.75,33483000,0,0
2018-01-19 00:00:00.000000000,1516291200000000000,6.73,6.94,6.68,6.91,49148300,0,0
2018-01-22 00:00:00.000000000,1516550400000000000,6.88,6.94,6.81,6.88,34903300,0,0
2018-01-23 00:00:00.000000000,1516636800000000000,6.88,6.99,6.84,6.91,33837900,0,0
2018-01-24 00:00:00.000000000,1516723200000000000,6.9,7.17,6.88,7.16,76582600,0,0
2018-01-25 00:00:00.000000000,1516809600000000000,7.15,7.29,7.08,7.11,60383800,0,0
2018-01-26 00:00:00.000000000,1516896000000000000,7.11,7.35,7.08,7.23,65205300,0,0
