datetime,datetime_nano,SZSE.300750.open,SZSE.300750.high,SZSE.300750.low,SZSE.300750.close,SZSE.300750.volume,SZSE.300750.open_oi,SZSE.300750.close_oi
2018-06-11 00:00:00.000000000,1528646400000000000,30.17,36.2,30.17,36.2,78800,0,0
2018-06-12 00:00:00.000000000,1528732800000000000,39.82,39.82,39.82,39.82,26600,0,0
2018-06-13 00:00:00.000000000,1528819200000000000,43.8,43.8,43.8,43.8,45000,0,0
2018-06-14 00:00:00.000000000,1528905600000000000,48.18,48.18,48.18,48.18,74300,0,0
2018-06-15 00:00:00.000000000,1528992000000000000,53.0,53.0,53.0,53.0,256500,0,0
2018-06-19 00:00:00.000000000,1529337600000000000,58.3,58.3,58.3,58.3,1117400,0,0
2018-06-20 00:00:00.000000000,1529424000000000000,64.13,64.13,64.13,64.13,1310400,0,0
2018-06-21 00:00:00.000000000,1529510400000000000,70.54,70.54,70.54,70.54,1231700,0,0
2018-06-22 00:00:00.000000000,1529596800000000000,72.0,72.0,63.49,66.55,128170600,0,0
2018-06-25 00:00:00.000000000,1529856000000000000,68.2,71.57,67.24,69.19,69982000,0,0
2018-06-26 00:00:00.000000000,1529942400000000000,67.89,75.55,67.45,74.18,62553500,0,0
2018-06-27 00:00:00.000000000,1530028800000000000,74.21,74.93,71.8,74.09,44138900,0,0
2018-06-28 00:00:00.000000000,1530115200000000000,73.3,75.32,67.5,68.21,53081000,0,0
2018-06-29 00:00:00.000000000,1530201600000000000,68.68,74.3,67.8,71.96,45698600,0,0
2018-07-02 00:00:00.000000000,1530460800000000000,70.79,71.45,69.2,70.0,32470200,0,0
2018-07-03 00:00:00.000000000,1530547200000000000,70.2,71.19,65.86,69.29,33910100,0,0
2018-07-04 00:00:00.000000000,1530633600000000000,68.15,68.15,65.67,65.92,26282200,0,0
2018-07-05 00:00:00.000000000,1530720000000000000,65.0,71.88,65.0,68.81,34337800,0,0
2018-07-06 00:00:00.000000000,1530806400000000000,68.81,74.5,68.81,70.88,49213400,0,0
2018-07-09 00:00:00.000000000,1531065600000000000,70.8,71.55,69.13,71.55,31069000,0,0
2018-07-10 00:00:00.000000000,1531152000000000000,75.0,75.8,71.66,72.4,36484400,0,0
2018-07-11 00:00:00.000000000,1531238400000000000,70.0,78.9,69.6,77.06,49120800,0,0
2018-07-12 00:00:00.000000000,1531324800000000000,76.03,84.77,75.7,84.77,43085200,0,0
2018-07-13 00:00:00.000000000,1531411200000000000,82.0,88.46,81.05,82.7,48202100,0,0
2018-07-16 00:00:00.000000000,1531670400000000000,82.7,84.75,80.2,83.9,29515200,0,0
2018-07-17 00:00:00.000000000,1531756800000000000,83.11,84.14,79.68,82.28,28615300,0,0
2018-07-18 00:00:00.000000000,1531843200000000000,82.28,84.35,80.13,82.28,27113800,0,0
2018-07-19 00:00:00.000000000,1531929600000000000,82.0,85.15,80.8,82.89,25074500,0,0
2018-07-20 00:00:00.000000000,1532016000000000000,82.5,91.18,82.02,90.93,42695600,0,0
2018-07-23 00:00:00.000000000,1532275200000000000,89.7,90.3,87.56,88.62,25014400,0,0
2018-07-24 00:00:00.000000000,1532361600000000000,88.5,92.91,87.6,91.77,26501000,0,0
2018-07-25 00:00:00.000000000,1532448000000000000,91.0,95.03,82.59,82.59,45719300,0,0
2018-07-26 00:00:00.000000000,1532534400000000000,80.5,82.6,76.66,78.2,39287000,0,0
2018-07-27 00:00:00.000000000,1532620800000000000,78.0,78.64,75.68,76.05,22809600,0,0
2018-07-30 00:00:00.000000000,1532880000000000000,76.5,77.32,75.16,76.85,18041800,0,0
2018-07-31 00:00:00.000000000,1532966400000000000,76.78,76.78,70.58,72.22,28128300,0,0
2018-08-01 00:00:00.000000000,1533052800000000000,71.11,73.6,71.03,71.42,17933600,0,0
2018-08-02 00:00:00.000000000,1533139200000000000,70.06,73.22,68.01,72.56,19853500,0,0
2018-08-03 00:00:00.000000000,1533225600000000000,72.56,74.55,68.82,69.6,17288900,0,0
2018-08-06 00:00:00.000000000,1533484800000000000,69.6,72.6,67.78,69.65,15706900,0,0
2018-08-07 00:00:00.000000000,1533571200000000000,69.65,74.45,69.02,73.79,19964900,0,0
2018-08-08 00:00:00.000000000,1533657600000000000,73.81,75.6,71.14,71.52,14770800,0,0
2018-08-09 00:00:00.000000000,1533744000000000000,71.51,75.65,70.37,74.06,18474900,0,0
2018-08-10 00:00:00.000000000,1533830400000000000,74.05,74.49,73.04,74.44,11673900,0,0
2018-08-13 00:00:00.000000000,1534089600000000000,74.43,76.55,72.03,74.01,10949600,0,0
2018-08-14 00:00:00.000000000,1534176000000000000,73.61,74.0,71.45,71.57,11735600,0,0
2018-08-15 00:00:00.000000000,1534262400000000000,71.52,73.7,69.0,69.11,12916700,0,0
2018-08-16 00:00:00.000000000,1534348800000000000,69.11,69.87,66.28,68.99,10715300,0,0
2018-08-17 00:00:00.000000000,1534435200000000000,69.38,70.51,68.12,68.16,8224800,0,0
2018-08-20 00:00:00.000000000,1534694400000000000,68.88,69.11,66.0,68.95,10922900,0,0
2018-08-21 00:00:00.000000000,1534780800000000000,68.96,70.75,68.04,69.57,10208800,0,0
2018-08-22 00:00:00.000000000,1534867200000000000,69.63,70.25,67.22,67.47,8999900,0,0
2018-08-23 00:00:00.000000000,1534953600000000000,66.5,71.71,66.5,69.1,12193100,0,0
2018-08-24 00:00:00.000000000,1535040000000000000,67.51,71.16,67.5,68.8,13360900,0,0
2018-08-27 00:00:00.000000000,1535299200000000000,68.58,70.97,67.89,70.46,12915100,0,0
2018-08-28 00:00:00.000000000,1535385600000000000,70.1,74.29,70.1,73.01,18814000,0,0
2018-08-29 00:00:00.000000000,1535472000000000000,72.4,73.49,71.81,73.02,10333800,0,0
2018-08-30 00:00:00.000000000,1535558400000000000,72.29,73.96,69.68,69.99,13681800,0,0
2018-08-31 00:00:00.000000000,1535644800000000000,69.99,69.99,65.34,65.5,15901200,0,0
2018-09-03 00:00:00.000000000,1535904000000000000,65.53,65.53,61.0,63.26,15910800,0,0
2018-09-04 00:00:00.000000000,1535990400000000000,63.26,64.25,62.77,63.85,8067600,0,0
2018-09-05 00:00:00.000000000,1536076800000000000,63.84,64.1,61.39,61.39,9689300,0,0
2018-09-06 00:00:00.000000000,1536163200000000000,61.06,62.65,60.4,61.84,8854100,0,0
2018-09-07 00:00:00.000000000,1536249600000000000,62.3,64.87,62.19,63.32,12748600,0,0
2018-09-10 00:00:00.000000000,1536508800000000000,63.5,63.78,61.12,61.35,6545100,0,0
2018-09-11 00:00:00.000000000,1536595200000000000,60.51,63.16,60.51,62.57,6629300,0,0
2018-09-12 00:00:00.000000000,1536681600000000000,62.8,65.22,62.66,64.5,12116000,0,0
2018-09-13 00:00:00.000000000,1536768000000000000,65.64,66.06,63.4,64.8,9852000,0,0
2018-09-14 00:00:00.000000000,1536854400000000000,65.8,68.95,65.8,65.9,15831800,0,0
2018-09-17 00:00:00.000000000,1537113600000000000,65.89,65.89,63.6,63.71,7131400,0,0
2018-09-18 00:00:00.000000000,1537200000000000000,63.02,66.41,62.9,66.36,7789200,0,0
2018-09-19 00:00:00.000000000,1537286400000000000,65.99,68.55,65.48,67.33,9502600,0,0
2018-09-20 00:00:00.000000000,1537372800000000000,67.2,69.9,66.9,67.99,10200700,0,0
2018-09-21 00:00:00.000000000,1537459200000000000,67.99,69.9,67.86,69.19,7748200,0,0
2018-09-25 00:00:00.000000000,1537804800000000000,69.18,69.3,67.77,68.33,4204200,0,0
2018-09-26 00:00:00.000000000,1537891200000000000,68.32,73.49,67.6,72.89,16061600,0,0
2018-09-27 00:00:00.000000000,1537977600000000000,72.66,74.95,71.72,72.55,13694700,0,0
2018-09-28 00:00:00.000000000,1538064000000000000,72.55,75.08,72.02,73.0,11921100,0,0
2018-10-08 00:00:00.000000000,1538928000000000000,70.79,73.0,67.95,68.45,13116700,0,0
2018-10-09 00:00:00.000000000,1539014400000000000,68.46,69.3,64.11,64.9,13389400,0,0
2018-10-10 00:00:00.000000000,1539100800000000000,65.38,66.28,63.6,64.9,7163200,0,0
2018-10-11 00:00:00.000000000,1539187200000000000,63.0,63.37,59.51,60.45,12809500,0,0
2018-10-12 00:00:00.000000000,1539273600000000000,60.47,63.16,60.3,62.86,8600300,0,0
2018-10-15 00:00:00.000000000,1539532800000000000,69.15,69.15,67.9,69.15,19801500,0,0
2018-10-16 00:00:00.000000000,1539619200000000000,72.0,72.0,67.07,68.85,10452200,0,0
2018-10-17 00:00:00.000000000,1539705600000000000,69.69,71.7,69.21,70.0,14232200,0,0
2018-10-18 00:00:00.000000000,1539792000000000000,68.35,71.4,65.52,68.03,10810900,0,0
2018-10-19 00:00:00.000000000,1539878400000000000,68.49,74.26,67.0,73.77,14125100,0,0
2018-10-22 00:00:00.000000000,1540137600000000000,73.5,81.1,73.5,79.1,18106400,0,0
2018-10-23 00:00:00.000000000,1540224000000000000,78.0,79.96,75.19,78.0,12736600,0,0
2018-10-24 00:00:00.000000000,1540310400000000000,77.1,79.4,76.15,77.0,10042800,0,0
2018-10-25 00:00:00.000000000,1540396800000000000,79.0,81.58,74.51,80.91,13372200,0,0
2018-10-26 00:00:00.000000000,1540483200000000000,80.7,81.35,73.5,74.6,17691700,0,0
2018-10-29 00:00:00.000000000,1540742400000000000,74.0,75.4,70.6,70.76,12719800,0,0
2018-10-30 00:00:00.000000000,1540828800000000000,70.6,75.35,69.9,75.0,12887600,0,0
2018-10-31 00:00:00.000000000,1540915200000000000,75.5,77.4,74.23,74.5,9794400,0,0
2018-11-01 00:00:00.000000000,1541001600000000000,75.55,76.8,73.29,73.61,9724000,0,0
2018-11-02 00:00:00.000000000,1541088000000000000,73.61,78.63,73.61,78.48,13705900,0,0
2018-11-05 00:00:00.000000000,1541347200000000000,78.48,82.4,77.8,79.39,13063500,0,0
